#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="BirthDeath.t:tree" spec="beast.evolution.speciation.BirthDeathGernhard08Model">
#            <parameter id="BDDeathRate.t:tree" lower="0.0" name="relativeDeathRate" spec="beast.core.parameter.RealParameter" upper="1.0">0.5</parameter>
#            <parameter id="BDBirthRate.t:tree" lower="0.0" name="birthDiffRate" spec="beast.core.parameter.RealParameter" upper="100.0">0.5</parameter>
#            <tree id="Tree.t:tree" spec="beast.evolution.tree.Tree">
#                <taxonset id="TaxonSet.SequenceSimulator" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="BirthRatePrior.t:tree" name="distribution" x="@BDBirthRate.t:tree">
#            <Uniform id="Uniform.3" name="distr" upper="1000.0"/>
#        </prior>
#        <prior id="DeathRatePrior.t:tree" name="distribution" x="@BDDeathRate.t:tree">
#            <Uniform id="Uniform.4" name="distr"/>
#        </prior>
#        <prior id="ClockPrior.c:clock" name="distribution">
#            <parameter id="clockRate.c:clock" name="x" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <Uniform id="Uniform.0" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="GammaShapePrior.s:SequenceSimulator" name="distribution">
#            <parameter id="gammaShape.s:SequenceSimulator" name="x" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <Exponential id="Exponential.0" name="distr">
#                <parameter id="RealParameter.0" lower="0.0" name="mean" spec="beast.core.parameter.RealParameter" upper="0.0">1.0</parameter>
#            </Exponential>
#        </prior>
#        <distribution id="a.prior" monophyletic="true" spec="beast.math.distributions.MRCAPrior" tree="@Tree.t:tree">
#            <taxonset id="a" spec="beast.evolution.alignment.TaxonSet">
#                <taxon id="t3" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t4" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t46" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t27" spec="beast.evolution.alignment.Taxon"/>
#            </taxonset>
#            <Uniform id="Uniform.5" lower="3.0" name="distr" upper="3.5"/>
#        </distribution>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution id="treeLikelihood.SequenceSimulator" spec="beast.evolution.likelihood.TreeLikelihood" tree="@Tree.t:tree">
#            <data ascertained="true" data="@SequenceSimulator" excludeto="1" filter="::" id="bin.SequenceSimulator" spec="beast.evolution.alignment.FilteredAlignment">
#                <userDataType id="Binary.0" spec="beast.evolution.datatype.Binary"/>
#            </data>
#            <siteModel gammaCategoryCount="4" id="SiteModel.s:SequenceSimulator" shape="@gammaShape.s:SequenceSimulator" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter id="mutationRate.s:SequenceSimulator" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:SequenceSimulator" lower="0.0" name="proportionInvariant" spec="beast.core.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="CTMC.s:SequenceSimulator" spec="beast.evolution.substitutionmodel.GeneralSubstitutionModel">
#                    <parameter dimension="2" estimate="false" id="rates.s:SequenceSimulator" lower="0.0" name="rates" spec="beast.core.parameter.RealParameter">1.0 1.0</parameter>
#                    <frequencies id="estimatedFreqs.s:SequenceSimulator" spec="beast.evolution.substitutionmodel.Frequencies">
#                        <parameter dimension="2" id="freqParameter.s:SequenceSimulator" lower="0.0" name="frequencies" spec="beast.core.parameter.RealParameter" upper="1.0">0.5</parameter>
#                    </frequencies>
#                </substModel>
#            </siteModel>
#            <branchRateModel clock.rate="@clockRate.c:clock" id="StrictClock.c:clock" spec="beast.evolution.branchratemodel.StrictClockModel"/>
#        </distribution>
#    </distribution>
#    <distribution id="fossilCalibrations" spec="beast.core.util.CompoundDistribution"/>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood.SequenceSimulator	TreeHeight.t:tree	mutationRate.s:SequenceSimulator	gammaShape.s:SequenceSimulator	freqParameter.s:SequenceSimulator.1	freqParameter.s:SequenceSimulator.2	logP(mrca(a))	mrca.age(a)	BirthDeath.t:tree	BDBirthRate.t:tree	BDDeathRate.t:tree	clockRate.c:clock
330000	-101513.6711610144	-101370.90814298311	-142.76301803128027	-101370.90814298311	42.380618291637035	1.0	1.0185277119326268	0.5035114285580139	0.49648857144198594	0.6931471805599453	3.0613709264642384	-135.52988222092546	0.031119213560162715	0.9193856403632771	1.3182580853578758
340000	-101500.24355043405	-101367.87257898018	-132.3709714538722	-101367.87257898018	15.11567237617498	1.0	1.0166155101468943	0.5037879064224268	0.4962120935775733	0.6931471805599453	3.1458707025101766	-125.13974784530309	0.10922080124082108	0.4911898675753662	1.1041377675301036
350000	-101505.42198775162	-101370.64716887353	-134.77481887807866	-101370.64716887353	20.42465223474652	1.0	1.0166155101468943	0.5034625408298702	0.49653745917012987	0.6931471805599453	3.0067078101795466	-127.54359526950958	0.15757274023032738	0.5543089500538009	1.0772512854556207
360000	-101533.03554865884	-101375.5195771614	-157.51597149743867	-101375.5195771614	59.29854789667605	1.0	1.0218705491456308	0.5021430610710462	0.49785693892895366	0.6931471805599453	3.1782203764952257	-150.27949284987085	0.051265221843120386	0.775329576156703	0.9805803857671544
370000	-101529.20322693327	-101371.29169233996	-157.91153459330252	-101371.29169233996	99.55012864087782	1.0	1.0346749785618214	0.5039862432422164	0.4960137567577836	0.6931471805599453	3.238477626194293	-150.66225151631852	0.02507500324086317	0.9034244379161033	1.0491148983086578
380000	-101501.6856209674	-101369.05683554575	-132.62878542165438	-101369.05683554575	19.519572932872826	1.0	1.0092683507940186	0.5007726767001628	0.4992273232998371	0.6931471805599453	3.0176022727150205	-125.40490897243816	0.1868300319945158	0.05121436607989961	1.1686700872739664
390000	-101509.266325966	-101379.95664113713	-129.30968482886848	-101379.95664113713	18.65051430496529	1.0	1.030487204012404	0.5003245684515911	0.49967543154840877	0.6931471805599453	3.184744155190167	-122.06458952643386	0.267568144051185	0.12631814291527613	1.4387505807538488
400000	-101488.49639228449	-101376.47428507986	-112.0221072046273	-101376.47428507986	11.336544708871276	1.0	1.027018835644138	0.5011694171662571	0.49883058283374276	0.6931471805599453	3.077989644672182	-104.78048027056097	0.3944725446287225	0.003260564264692056	1.67280980869821
410000	-101474.93358810204	-101367.1811014179	-107.7524866841416	-101367.1811014179	10.885790656906705	1.0	1.0491668511497705	0.5003411334731278	0.499658866526872	0.6931471805599453	3.000016012551468	-100.48871173456965	0.2620372352278875	0.43873104568658217	1.736296569829293
420000	-101479.41221143615	-101374.76401559974	-104.64819583641287	-101374.76401559974	8.930642336902162	1.0	1.019947198489546	0.5008923103963075	0.4991076896036923	0.6931471805599453	3.1815391950844	-97.41364053950113	0.3456249084569458	0.05073563301534664	1.717250563286738
430000	-101511.63323871697	-101376.1095039112	-135.52373480577677	-101376.1095039112	28.073483889001263	1.0	1.009142664912278	0.5017976047940399	0.49820239520596055	0.6931471805599453	3.2576863559062357	-128.2999840424423	0.06142457464813411	0.8044286497545151	1.311483628424408
440000	-101505.01740977232	-101380.45373306384	-124.5636767084843	-101380.45373306384	19.842688205051644	1.0	0.976778454529176	0.5043522367482755	0.4956477632517243	0.6931471805599453	3.1239384178448266	-117.37229015553292	0.08174886959310551	0.8091360922081212	1.6745127764937013
450000	-101504.69459222966	-101383.19251422705	-121.50207800260898	-101383.19251422705	12.773588404946144	1.0	1.019947198489546	0.5035049834406061	0.49649501655939365	0.6931471805599453	3.1012482478289303	-114.26752270569725	0.32842598544500723	0.3872042355627992	1.6647505466964208
460000	-101527.0788328668	-101388.23343315766	-138.84539970914796	-101388.23343315766	35.0692351611869	1.0	0.9770893893971969	0.4994030621845451	0.5005969378154549	0.6931471805599453	3.170062007639178	-131.65370222132856	0.06481281249244741	0.8368567219472842	1.4428323742667861
470000	-101530.01227664159	-101380.02487266353	-149.98740397805074	-101380.02487266353	31.98496592206559	1.0	0.9770893893971969	0.5034757397018115	0.49652426029818847	0.6931471805599453	3.4877791705658296	-142.79570649023134	0.11375330346979368	0.3145165704052137	1.4265282616998936
480000	-101524.92918891844	-101376.15139430403	-148.77779461440042	-101376.15139430403	59.36652429515024	1.0	0.961924234398163	0.49953817112888704	0.500461828871113	0.6931471805599453	3.43869673523312	-141.60126228158006	0.07220870978867419	0.7254579365317114	1.5143807636711224
490000	-101506.15351627654	-101381.1282645828	-125.02525169373432	-101381.1282645828	19.934548734216218	1.0	0.9425366607266011	0.5022595367619569	0.4977404632380431	0.6931471805599453	3.4941385475217874	-117.86810693458553	0.13576563660062635	0.5748555497359384	1.546288460087737
500000	-101517.65497773116	-101387.79300989049	-129.8619678406664	-101387.79300989049	18.612224180050365	1.0	0.9425366607266011	0.5034143749508967	0.4965856250491033	0.6931471805599453	3.2494315161994916	-122.70482308151762	0.17947307534802684	0.3187117288708404	1.4471264914734154
510000	-101496.66827429467	-101366.2018872019	-130.46638709277013	-101366.2018872019	19.729336524449664	1.0	0.9388125187342891	0.5013991664705508	0.49860083352944884	0.6931471805599453	3.0771291482199477	-123.31296647561366	0.12983579630146824	0.42209537070792724	1.540052894419126
520000	-101506.88218720246	-101370.12565695637	-136.75653024609298	-101370.12565695637	17.69833577237468	1.0	0.9388125187342891	0.50450181701099	0.4954981829890096	0.6931471805599453	3.4888985243477597	-129.6031096289365	0.10014989052414007	0.742158557131768	1.2688846591165357
530000	-101531.67489249949	-101380.2660848678	-151.40880763168627	-101380.2660848678	36.39833435368792	1.0	0.958771121356311	0.5035898415146092	0.49641015848539033	0.6931471805599453	3.466888720916749	-144.23542841190778	0.1112477552018118	0.2480773834521835	1.0297417969087725
540000	-101520.37444263375	-101386.18402263564	-134.19041999811392	-101386.18402263564	28.988860182696804	1.0	0.9540476151800827	0.5031399143157993	0.49686008568420054	0.6931471805599453	3.028585226208474	-127.02176428451163	0.1350517712543656	0.6102929013621802	1.6458917340279882
550000	-101531.234577459	-101380.81831910208	-150.41625835692608	-101380.81831910208	34.10674954814429	1.0	0.958771121356311	0.5014981667531991	0.4985018332468004	0.6931471805599453	3.2804337243206714	-143.24287913714758	0.11330971385316466	0.3706430377429013	1.1922888970760708
560000	-101499.17440817045	-101366.78623811108	-132.38817005938395	-101366.78623811108	27.41655738234698	1.0	0.9540476151800827	0.5030555378091873	0.4969444621908124	0.6931471805599453	3.083285692072487	-125.21951434578168	0.09802653186616613	0.7415429326883127	1.5240068749302496
