"type","age","simulation","node","exist","N_nodes"
"consensus",7,1,68,36,TRUE
"consensus",7,1,69,36,TRUE
"consensus",7,1,70,36,TRUE
"consensus",7,1,71,36,TRUE
"consensus",7,1,76,36,TRUE
"consensus",7,1,77,36,TRUE
"consensus",7,1,78,36,TRUE
"consensus",7,1,79,36,TRUE
"consensus",7,1,80,36,TRUE
"consensus",8,1,51,29,TRUE
"consensus",8,1,52,29,TRUE
"consensus",8,1,53,29,TRUE
"consensus",8,1,54,29,TRUE
"consensus",8,1,55,29,TRUE
"consensus",8,1,56,29,TRUE
"consensus",8,1,57,29,TRUE
"consensus",8,1,65,29,TRUE
"consensus",8,1,66,29,TRUE
"consensus",8,1,67,29,TRUE
"consensus",8,1,68,29,TRUE
"consensus",8,1,69,29,TRUE
"consensus",8,1,70,29,TRUE
"consensus",8,1,75,29,FALSE
"consensus",8,1,76,29,TRUE
"consensus",8,1,77,29,TRUE
"consensus",8,1,78,29,TRUE
"consensus",8,1,79,29,FALSE
"consensus",9,1,51,31,TRUE
"consensus",9,1,52,31,TRUE
"consensus",9,1,53,31,TRUE
"consensus",9,1,54,31,TRUE
"consensus",9,1,55,31,TRUE
"consensus",9,1,56,31,TRUE
"consensus",9,1,57,31,TRUE
"consensus",9,1,58,31,TRUE
"consensus",9,1,59,31,TRUE
"consensus",9,1,61,31,TRUE
"consensus",9,1,62,31,TRUE
"consensus",9,1,63,31,TRUE
"consensus",9,1,64,31,TRUE
"consensus",9,1,68,31,FALSE
"consensus",9,1,69,31,TRUE
"consensus",9,1,70,31,FALSE
"consensus",9,1,71,31,TRUE
"consensus",9,1,72,31,TRUE
"consensus",9,1,73,31,TRUE
"consensus",9,1,74,31,TRUE
"consensus",9,1,75,31,TRUE
"consensus",1,10,51,44,TRUE
"consensus",1,10,52,44,TRUE
"consensus",1,10,53,44,TRUE
"consensus",1,10,54,44,FALSE
"consensus",1,10,55,44,TRUE
"consensus",1,10,56,44,TRUE
"consensus",1,10,57,44,TRUE
"consensus",1,10,58,44,TRUE
"consensus",1,10,59,44,TRUE
"consensus",1,10,60,44,TRUE
"consensus",1,10,61,44,TRUE
"consensus",1,10,62,44,TRUE
"consensus",1,10,63,44,TRUE
"consensus",1,10,65,44,TRUE
"consensus",1,10,66,44,TRUE
"consensus",1,10,67,44,TRUE
"consensus",1,10,68,44,TRUE
"consensus",1,10,69,44,TRUE
"consensus",1,10,74,44,TRUE
"consensus",1,10,75,44,TRUE
"consensus",1,10,76,44,TRUE
"consensus",1,10,77,44,TRUE
"consensus",1,10,78,44,TRUE
"consensus",1,10,79,44,TRUE
"consensus",1,10,80,44,TRUE
"consensus",1,10,81,44,TRUE
"consensus",1,10,82,44,TRUE
"consensus",1,10,83,44,TRUE
"consensus",1,10,84,44,TRUE
"consensus",1,10,85,44,TRUE
"consensus",1,10,86,44,TRUE
"consensus",1,10,87,44,TRUE
"consensus",1,10,88,44,TRUE
"consensus",10,10,51,29,TRUE
"consensus",10,10,52,29,FALSE
"consensus",10,10,53,29,TRUE
"consensus",10,10,54,29,TRUE
"consensus",10,10,55,29,TRUE
"consensus",10,10,56,29,TRUE
"consensus",10,10,57,29,TRUE
"consensus",10,10,58,29,TRUE
"consensus",10,10,59,29,TRUE
"consensus",10,10,61,29,TRUE
"consensus",10,10,62,29,TRUE
"consensus",10,10,63,29,TRUE
"consensus",10,10,74,29,TRUE
"consensus",10,10,75,29,TRUE
"consensus",10,10,76,29,TRUE
"consensus",10,10,77,29,TRUE
"consensus",10,10,78,29,TRUE
"consensus",10,10,79,29,TRUE
"consensus",11,10,51,28,TRUE
"consensus",11,10,52,28,TRUE
"consensus",11,10,53,28,TRUE
"consensus",11,10,54,28,TRUE
"consensus",11,10,55,28,TRUE
"consensus",11,10,56,28,FALSE
"consensus",11,10,57,28,TRUE
"consensus",11,10,58,28,TRUE
"consensus",11,10,66,28,TRUE
"consensus",11,10,67,28,TRUE
"consensus",11,10,68,28,TRUE
"consensus",11,10,69,28,TRUE
"consensus",11,10,70,28,TRUE
"consensus",11,10,75,28,TRUE
"consensus",11,10,76,28,TRUE
"consensus",11,10,77,28,TRUE
"consensus",11,10,78,28,TRUE
"consensus",12,10,51,24,TRUE
"consensus",12,10,52,24,TRUE
"consensus",12,10,53,24,TRUE
"consensus",12,10,54,24,TRUE
"consensus",12,10,55,24,TRUE
"consensus",12,10,56,24,TRUE
"consensus",12,10,57,24,TRUE
"consensus",12,10,58,24,TRUE
"consensus",12,10,66,24,TRUE
"consensus",12,10,67,24,FALSE
"consensus",12,10,68,24,TRUE
"consensus",12,10,72,24,TRUE
"consensus",12,10,73,24,TRUE
"consensus",12,10,74,24,TRUE
"consensus",13,10,51,23,TRUE
"consensus",13,10,52,23,TRUE
"consensus",13,10,53,23,TRUE
"consensus",13,10,54,23,TRUE
"consensus",13,10,55,23,TRUE
"consensus",13,10,56,23,TRUE
"consensus",13,10,57,23,FALSE
"consensus",13,10,58,23,TRUE
"consensus",13,10,68,23,TRUE
"consensus",13,10,69,23,TRUE
"consensus",13,10,70,23,TRUE
"consensus",13,10,71,23,TRUE
"consensus",13,10,72,23,TRUE
"consensus",13,10,73,23,FALSE
"consensus",14,10,51,21,TRUE
"consensus",14,10,52,21,FALSE
"consensus",14,10,53,21,TRUE
"consensus",14,10,54,21,TRUE
"consensus",14,10,55,21,TRUE
"consensus",14,10,56,21,TRUE
"consensus",14,10,58,21,TRUE
"consensus",14,10,68,21,TRUE
"consensus",14,10,69,21,TRUE
"consensus",14,10,70,21,TRUE
"consensus",14,10,71,21,TRUE
"consensus",15,10,51,22,TRUE
"consensus",15,10,52,22,TRUE
"consensus",15,10,53,22,TRUE
"consensus",15,10,54,22,TRUE
"consensus",15,10,55,22,TRUE
"consensus",15,10,56,22,TRUE
"consensus",15,10,57,22,TRUE
