family,n_trees,N,k,pi0,pi1,mu,q,clock_rate,t_R,concept,n_cogsets,ub_DS,ub_DT,inf_t_DS,inf_t_DT
ST_by_sens,10001,50,3963,0.7524572763694402,0.2475427236305655,0.22872249858536528,1.0000000000000058,0.00675927451216095,10.362633927936784,five,3,48.670021318383434,149.53141201657073,1279.198,2948.597
ST_by_sens,10001,50,3963,0.990241283249607,0.00975871675039212,0.3824374408439402,0.9999999999999992,0.00675927451216095,10.362633927936784,full,17,13.704872964694225,786.3203977759314,63.987,100.968
ST_by_sens,10001,50,3963,0.990278911693738,0.00972108830626199,0.6842103315453741,1,0.00675927451216095,10.362633927936784,good,36,5.279079505786661,1602.6400837523797,35.713,60.653
ST_by_sens,10001,50,3963,0.9911560207970732,0.0088439792029261,0.2708774078144179,0.9999999999999992,0.00675927451216095,10.362633927936784,green,23,18.150081906429477,1078.4213551189996,82.852,126.531
ST_by_sens,10001,50,3963,0.9920618872481096,0.00793811275189057,0.5233731985658637,1,0.00675927451216095,10.362633927936784,hard,27,6.020225875071361,1207.6471797728332,39.084,64.166
ST_by_sens,10001,50,3963,0.9933356275024126,0.00666437249758636,0.5125841080207836,0.9999999999999988,0.00675927451216095,10.362633927936784,he_or_she_third_person_singular,32,4.439119857487023,1415.959141636157,34.239,56.502
ST_by_sens,10001,50,3963,0.9855777933907915,0.0144222066092045,0.2691462997065686,0.999999999999996,0.00675927451216095,10.362633927936784,heavy,15,26.941829822352666,718.6997423821075,127.49,200.288
ST_by_sens,10001,50,3963,0.9801025484400449,0.01989745155995775,0.5861742615131627,1.0000000000000024,0.00675927451216095,10.362633927936784,high_tall,21,18.64703603278111,986.0363421031524,77.192,129.807
ST_by_sens,10001,50,3963,0.9948199609598034,0.00518003904019741,0.3812573161822601,1.0000000000000009,0.00675927451216095,10.362633927936784,hot,34,4.874660947871929,1509.3231975842712,36.833,58.663
ST_by_sens,10001,50,3963,0.9900153141000504,0.00998468589995043,0.6276798333312084,1.0000000000000009,0.00675927451216095,10.362633927936784,inside,29,6.558485304571032,1301.2085385599244,39.83,66.69
ST_by_sens,10001,50,3963,0.9951998974362803,0.00480010256371941,0.680568887073796,0.9999999999999998,0.00675927451216095,10.362633927936784,late,37,1.3657120210497544,1568.8834905941949,19.389,35.349
ST_by_sens,10001,50,3963,0.9922495505299552,0.00775044947004422,0.4755630603538845,0.9999999999999996,0.00675927451216095,10.362633927936784,left,28,6.888629054609866,1258.6313377284416,42.107,68.211
ST_by_sens,10001,50,3963,0.9701553460165376,0.02984465398346088,0.6818648662093867,0.9999999999999988,0.00675927451216095,10.362633927936784,light_of_weight,13,23.096118292561002,617.4340045837997,93.394,162.959
ST_by_sens,10001,50,3963,0.9911668604532802,0.00883313954671982,0.32289363644097896,1,0.00675927451216095,10.362633927936784,long,30,14.94659817829676,1393.268145329271,69.452,107.622
ST_by_sens,10001,50,3963,0.9963868560156688,0.00361314398433237,0.3206125950482765,1.000000000000001,0.00675927451216095,10.362633927936784,many,38,3.306124549904172,1664.7476992142463,31.827,50.444
ST_by_sens,10001,50,3963,0.9913719964357108,0.00862800356428929,0.9806432961189968,1.0000000000000002,0.00675927451216095,10.362633927936784,middle,31,1.950844870041137,1333.9987699657577,22.522,41.451
ST_by_sens,10001,50,3963,0.9932710034088168,0.00672899659118618,0.6959205767698089,1.000000000000003,0.00675927451216095,10.362633927936784,morning,30,2.3698796109327827,1299.729778872988,25.484,44.613
ST_by_sens,10001,50,3963,0.9947165165297694,0.00528348347022947,0.5129539993983592,0.9999999999999988,0.00675927451216095,10.362633927936784,narrow,31,2.7166968997509278,1349.2326935602814,27.905,46.915
ST_by_sens,10001,50,3963,0.994335683212834,0.0056643167871647,0.28427671874301885,0.9999999999999988,0.00675927451216095,10.362633927936784,near,27,9.721426651925448,1230.251866726391,53.392,81.317
ST_by_sens,10001,50,3963,0.9909312442035944,0.00906875579640704,0.3828760614014592,1.0000000000000016,0.00675927451216095,10.362633927936784,new,19,12.441991781546033,874.9764560812725,59.956,94.494
ST_by_sens,10001,50,3963,0.9241484980856284,0.07585150191437426,0.6311874068780065,1.0000000000000029,0.00675927451216095,10.362633927936784,nine,6,37.52794815564588,293.55739112888574,213.414,410.442
ST_by_sens,10001,50,3963,0.9945073881808992,0.00549261181910119,0.37673695388012174,1.0000000000000004,0.00675927451216095,10.362633927936784,old_of_person,33,5.606136915526738,1472.1954301161322,39.248,62.198
ST_by_sens,10001,50,3963,0.974720070154694,0.02527992984530506,0.5891298200763319,0.999999999999999,0.00675927451216095,10.362633927936784,one,15,22.8278640980947,711.9549823678626,94.049,160.661
ST_by_sens,10001,50,3963,0.996412433188114,0.00358756681188487,0.2984837050639686,0.9999999999999988,0.00675927451216095,10.362633927936784,outside,35,3.792682050735048,1540.39732856689,33.958,53.129
ST_by_sens,10001,50,3963,0.9795348255230713,0.0204651744769329,0.3571539975409386,1.000000000000004,0.00675927451216095,10.362633927936784,red,20,27.9601949238489,960.3888632497367,129.675,212.25
ST_by_sens,10001,50,3963,0.9928530707131996,0.00714692928680447,0.26674088313250244,1.000000000000004,0.00675927451216095,10.362633927936784,right,23,14.609818967562546,1067.0144829111025,69.81,105.775
ST_by_sens,10001,50,3963,0.9889093631858898,0.01109063681411424,0.868937572368648,1.000000000000004,0.00675927451216095,10.362633927936784,round,31,4.227963570247793,1369.472197601306,31.564,55.449
ST_by_sens,10001,50,3963,0.9817428342880548,0.01825716571194582,0.27061780484001985,1.0000000000000009,0.00675927451216095,10.362633927936784,seven,10,30.623740103929386,482.85425855586317,155.236,248.705
ST_by_sens,10001,50,3963,0.97323092054876,0.0267690794512416,1.174197229206868,1.0000000000000018,0.00675927451216095,10.362633927936784,sharp,25,11.489866660263708,1147.3245914604115,49.579,89.87
ST_by_sens,10001,50,3963,0.980283144573298,0.01971685542670666,0.5659431373423953,1.0000000000000049,0.00675927451216095,10.362633927936784,short,26,19.128262809235174,1222.4121145757304,79.329,132.99
ST_by_sens,10001,50,3963,0.9368380351762572,0.06316196482374005,0.27340115463298376,0.9999999999999972,0.00675927451216095,10.362633927936784,six,5,43.5417728022295,247.14385498257852,427.519,790.704
ST_by_sens,10001,50,3963,0.989685222668868,0.01031477733113442,0.7741108436511231,1.0000000000000024,0.00675927451216095,10.362633927936784,small,30,4.63051472156982,1329.4310958196402,33.253,57.481
ST_by_sens,10001,50,3963,0.9920007363472484,0.00799926365275038,0.8566370740701723,0.9999999999999988,0.00675927451216095,10.362633927936784,soft,35,2.199034084318526,1512.489369934834,24.113,43.391
ST_by_sens,10001,50,3963,0.9951818435226942,0.00481815647730413,0.547682566259121,0.9999999999999984,0.00675927451216095,10.362633927936784,straight,34,1.9687821717741383,1463.4755957781208,24.115,41.568
ST_by_sens,10001,50,3963,0.9586687293881224,0.04133127061187951,0.7941345643355204,1.000000000000002,0.00675927451216095,10.362633927936784,ten,15,25.939307959810613,717.15180244738406,104.91,189.764
ST_by_sens,10001,50,3963,0.9926247410995578,0.00737525890044261,0.29791439989647184,1.0000000000000004,0.00675927451216095,10.362633927936784,the_ant,24,13.22539105895987,1108.2780871198781,64.269,98.466
ST_by_sens,10001,50,3963,0.9871509708554485,0.01284902914455345,0.5148981289404986,1.000000000000002,0.00675927451216095,10.362633927936784,the_bamboo,22,13.261977732663217,1016.0687957412985,60.379,98.683
ST_by_sens,10001,50,3963,0.988917530114828,0.01108246988516941,0.6018864493662474,0.9999999999999972,0.00675927451216095,10.362633927936784,the_belly,19,8.474884525245342,860.951070775076,45.466,75.544
ST_by_sens,10001,50,3963,0.9823979870476064,0.01760201295239448,0.6696734334252716,1.0000000000000009,0.00675927451216095,10.362633927936784,the_bird,22,14.07530982357573,1018.8764676209059,60.88,102.963
ST_by_sens,10001,50,3963,0.9564891524279888,0.04351084757200768,0.2327671713732453,0.9999999999999964,0.00675927451216095,10.362633927936784,the_blood,6,42.15018799045593,295.8845323465718,372.913,654.884
ST_by_sens,10001,50,3963,0.9863752984740864,0.01362470152591156,0.25547107413160186,0.999999999999998,0.00675927451216095,10.362633927936784,the_bone,15,26.875748283392312,718.5946448873053,127.876,199.541
ST_by_sens,10001,50,3963,0.9932723376083206,0.00672766239168005,0.4875055348987314,1.0000000000000009,0.00675927451216095,10.362633927936784,the_branch,27,5.013333417789523,1199.7701194358765,36.291,59.35
ST_by_sens,10001,50,3963,0.9778764988912948,0.02212350110870914,0.7122542502674842,1.0000000000000038,0.00675927451216095,10.362633927936784,the_breast_female,16,16.978884831596428,747.7233466912505,69.533,119.37
ST_by_sens,10001,50,3963,0.9859361210022204,0.01406387899777809,0.5404561411878128,0.9999999999999984,0.00675927451216095,10.362633927936784,the_cloud,19,13.966296030973032,879.6104180548217,62.194,102.367
ST_by_sens,10001,50,3963,0.9911750184188776,0.00882498158112237,0.5537739009214292,1,0.00675927451216095,10.362633927936784,the_dew,25,6.596016816014981,1121.9620632724195,40.526,66.859
