age,simulation,node,y,mcc_prob,first_split
6,19,58,TRUE,0.915,58
7,19,58,TRUE,0.995,58
8,19,58,TRUE,0.795,58
9,19,60,TRUE,0.83,60
1,2,52,TRUE,1,52
10,2,59,FALSE,0.175,59
11,2,58,TRUE,0.455,58
12,2,52,FALSE,0.11,52
13,2,52,FALSE,NA,52
14,2,52,FALSE,0.005,52
15,2,52,FALSE,0.005,52
16,2,52,FALSE,0.005,52
17,2,52,FALSE,0.005,52
2,2,52,TRUE,1,52
3,2,58,TRUE,1,58
4,2,52,TRUE,0.58,52
5,2,58,TRUE,0.985,58
6,2,58,TRUE,0.815,58
7,2,52,TRUE,0.64,52
8,2,58,TRUE,0.955,58
9,2,58,TRUE,0.97,58
1,20,58,TRUE,1,58
10,20,62,FALSE,0.24,62
11,20,53,FALSE,0.115,53
12,20,52,TRUE,0.115,52
13,20,62,FALSE,0.005,62
14,20,80,FALSE,0.005,80
15,20,90,FALSE,0.005,90
16,20,52,FALSE,0.005,52
17,20,52,FALSE,0.005,52
2,20,58,TRUE,1,58
3,20,58,TRUE,1,58
4,20,58,TRUE,0.97,58
5,20,52,FALSE,0.41,52
6,20,58,TRUE,0.925,58
7,20,60,FALSE,0.97,60
8,20,58,TRUE,0.975,58
9,20,58,TRUE,0.705,58
1,21,58,TRUE,1,58
10,21,52,TRUE,0.82,52
11,21,52,FALSE,0.015,52
12,21,57,FALSE,0.005,57
13,21,90,FALSE,0.015,90
14,21,52,FALSE,0.005,52
15,21,52,FALSE,0.005,52
16,21,52,FALSE,0.01,52
17,21,52,FALSE,0.005,52
2,21,58,TRUE,1,58
3,21,58,TRUE,1,58
4,21,58,TRUE,0.935,58
5,21,58,TRUE,1,58
6,21,58,TRUE,1,58
7,21,58,TRUE,0.995,58
8,21,52,TRUE,0.875,52
9,21,58,TRUE,0.825,58
1,22,52,TRUE,1,52
10,22,52,FALSE,0.085,52
11,22,58,TRUE,0.865,58
12,22,54,FALSE,0.015,54
13,22,52,FALSE,0.005,52
14,22,52,FALSE,0.005,52
15,22,52,FALSE,0.005,52
16,22,52,FALSE,0.005,52
17,22,82,FALSE,0.005,82
2,22,58,TRUE,0.995,58
3,22,52,TRUE,0.86,52
4,22,52,TRUE,0.915,52
5,22,52,FALSE,0.445,52
6,22,58,TRUE,0.945,58
7,22,58,TRUE,0.9,58
8,22,60,TRUE,0.405,60
9,22,52,TRUE,0.73,52
1,23,52,TRUE,1,52
10,23,52,FALSE,0.065,52
11,23,58,FALSE,0.01,58
12,23,52,FALSE,NA,52
13,23,52,FALSE,0.01,52
14,23,73,FALSE,0.005,73
15,23,52,FALSE,0.005,52
16,23,75,FALSE,0.005,75
17,23,52,FALSE,0.005,52
2,23,58,TRUE,1,58
3,23,58,TRUE,1,58
4,23,58,TRUE,1,58
5,23,52,TRUE,0.74,52
6,23,52,FALSE,0.505,52
7,23,52,FALSE,0.14,52
8,23,58,TRUE,1,58
9,23,52,FALSE,0.03,52
1,24,58,TRUE,1,58
10,24,61,TRUE,0.595,61
11,24,57,FALSE,0.165,57
12,24,52,FALSE,0.005,52
13,24,52,FALSE,0.01,52
14,24,59,FALSE,0.03,59
15,24,52,FALSE,0.005,52
16,24,52,FALSE,0.005,52
17,24,52,FALSE,0.005,52
2,24,52,TRUE,0.995,52
3,24,52,TRUE,0.95,52
4,24,58,TRUE,0.835,58
5,24,58,TRUE,0.975,58
6,24,52,TRUE,0.59,52
7,24,58,TRUE,0.87,58
8,24,58,TRUE,0.81,58
9,24,59,FALSE,0.4,59
1,25,52,TRUE,1,52
10,25,58,TRUE,0.62,58
11,25,53,FALSE,0.015,53
12,25,52,FALSE,0.02,52
13,25,59,FALSE,0.005,59
14,25,52,FALSE,0.005,52
15,25,52,FALSE,0.005,52
16,25,52,FALSE,0.005,52
17,25,52,FALSE,0.005,52
2,25,58,TRUE,1,58
3,25,52,TRUE,0.995,52
4,25,58,TRUE,1,58
5,25,52,TRUE,0.705,52
6,25,52,TRUE,0.73,52
7,25,52,FALSE,0.275,52
8,25,58,TRUE,0.865,58
9,25,62,FALSE,0.33,62
1,26,58,TRUE,1,58
10,26,52,FALSE,NA,52
11,26,52,FALSE,0.025,52
12,26,63,FALSE,0.005,63
13,26,52,FALSE,NA,52
14,26,88,FALSE,0.005,88
15,26,52,FALSE,0.005,52
16,26,52,FALSE,0.005,52
17,26,52,FALSE,0.005,52
2,26,58,TRUE,1,58
3,26,58,TRUE,1,58
4,26,58,TRUE,1,58
5,26,58,TRUE,0.955,58
6,26,58,TRUE,0.99,58
7,26,58,TRUE,1,58
8,26,52,FALSE,0.125,52
9,26,52,TRUE,0.98,52
1,27,58,TRUE,1,58
10,27,52,FALSE,NA,52
11,27,53,FALSE,0.095,53
12,27,52,FALSE,0.025,52
13,27,52,FALSE,0.01,52
14,27,52,FALSE,0.005,52
15,27,52,FALSE,0.005,52
16,27,52,FALSE,0.005,52
17,27,52,FALSE,0.005,52
2,27,52,TRUE,0.955,52
3,27,52,TRUE,0.89,52
4,27,58,TRUE,0.975,58
5,27,52,TRUE,0.63,52
6,27,52,TRUE,0.895,52
7,27,58,TRUE,0.96,58
8,27,52,FALSE,0.4,52
9,27,52,FALSE,0.165,52
1,28,52,TRUE,0.615,52
10,28,52,FALSE,0.1,52
11,28,52,FALSE,0.005,52
12,28,86,FALSE,0.005,86
13,28,53,FALSE,0.02,53
14,28,59,FALSE,0.005,59
15,28,52,FALSE,0.005,52
16,28,52,FALSE,0.005,52
17,28,52,FALSE,0.005,52
2,28,52,TRUE,0.72,52
3,28,52,FALSE,0.495,52
4,28,52,TRUE,0.87,52
5,28,58,TRUE,0.805,58
6,28,58,TRUE,0.985,58
7,28,58,TRUE,0.99,58
8,28,52,TRUE,0.875,52
9,28,58,TRUE,0.63,58
1,29,52,TRUE,1,52
10,29,58,TRUE,0.785,58
11,29,59,FALSE,0.1,59
12,29,52,FALSE,0.025,52
13,29,52,FALSE,0.005,52
14,29,52,FALSE,NA,52
15,29,52,FALSE,0.005,52
16,29,67,FALSE,0.005,67
17,29,52,FALSE,0.005,52
2,29,52,TRUE,1,52
3,29,52,TRUE,0.985,52
4,29,52,TRUE,0.995,52
5,29,92,FALSE,0.415,92
6,29,58,TRUE,0.945,58
7,29,58,TRUE,0.955,58
8,29,58,TRUE,0.88,58
9,29,60,TRUE,0.645,60
1,3,52,TRUE,1,52
10,3,61,TRUE,0.05,61
11,3,52,FALSE,0.08,52
12,3,52,FALSE,0.025,52
13,3,52,FALSE,0.005,52
14,3,52,FALSE,0.005,52
15,3,52,FALSE,0.005,52
16,3,52,FALSE,0.005,52
17,3,52,FALSE,0.005,52
2,3,58,TRUE,1,58
3,3,58,TRUE,1,58
4,3,58,TRUE,1,58
5,3,52,TRUE,0.995,52
6,3,58,TRUE,0.985,58
7,3,58,TRUE,0.99,58
8,3,52,TRUE,0.825,52
9,3,58,TRUE,0.995,58
1,30,58,TRUE,1,58
10,30,58,TRUE,0.95,58
11,30,52,TRUE,0.685,52
12,30,52,FALSE,0.005,52
13,30,52,FALSE,0.055,52
14,30,52,FALSE,0.005,52
15,30,52,FALSE,0.005,52
16,30,52,FALSE,0.005,52
17,30,52,FALSE,0.005,52
2,30,58,TRUE,1,58
3,30,58,TRUE,0.985,58
4,30,58,TRUE,1,58
5,30,58,TRUE,1,58
6,30,58,TRUE,1,58
7,30,58,TRUE,0.96,58
8,30,58,TRUE,0.98,58
9,30,52,TRUE,0.755,52
1,31,58,TRUE,0.995,58
10,31,78,FALSE,0.005,78
11,31,52,FALSE,0.155,52
12,31,52,FALSE,NA,52
13,31,52,FALSE,NA,52
14,31,52,FALSE,0.005,52
15,31,52,FALSE,NA,52
16,31,52,FALSE,0.005,52
17,31,52,FALSE,0.005,52
2,31,58,TRUE,1,58
3,31,52,TRUE,0.995,52
4,31,52,FALSE,0.85,52
5,31,58,TRUE,0.995,58
6,31,58,TRUE,1,58
7,31,52,FALSE,0.245,52
8,31,60,TRUE,0.915,60
9,31,52,FALSE,0.125,52
1,32,58,TRUE,1,58
10,32,58,TRUE,0.695,58
11,32,52,FALSE,0.115,52
12,32,52,TRUE,0.04,52
13,32,52,FALSE,0.005,52
14,32,52,FALSE,0.005,52
15,32,52,FALSE,NA,52
16,32,52,FALSE,0.01,52
17,32,52,FALSE,0.005,52
2,32,58,TRUE,1,58
3,32,58,TRUE,1,58
4,32,58,TRUE,1,58
5,32,58,TRUE,1,58
6,32,58,TRUE,1,58
7,32,58,TRUE,1,58
8,32,58,TRUE,1,58
9,32,52,TRUE,0.17,52
1,33,52,TRUE,0.935,52
10,33,52,FALSE,0.74,52
11,33,52,TRUE,0.38,52
12,33,52,FALSE,0.145,52
13,33,52,FALSE,0.005,52
14,33,52,FALSE,0.005,52
15,33,83,FALSE,0.005,83
16,33,52,FALSE,0.005,52
17,33,52,FALSE,0.005,52
2,33,58,TRUE,0.995,58
3,33,52,TRUE,0.725,52
4,33,58,TRUE,0.985,58
5,33,58,TRUE,0.96,58
6,33,52,TRUE,0.92,52
7,33,60,TRUE,0.87,60
8,33,60,TRUE,0.73,60
9,33,54,FALSE,0.7,54
1,34,58,TRUE,1,58
10,34,59,FALSE,0.34,59
11,34,52,FALSE,0.025,52
12,34,52,FALSE,NA,52
13,34,53,FALSE,0.015,53
14,34,52,FALSE,0.005,52
15,34,52,FALSE,0.005,52
16,34,73,FALSE,0.005,73
17,34,63,FALSE,0.005,63
2,34,58,TRUE,1,58
3,34,58,TRUE,1,58
4,34,58,TRUE,0.995,58
5,34,58,TRUE,1,58
6,34,58,TRUE,0.975,58
7,34,58,TRUE,0.995,58
8,34,58,TRUE,0.865,58
9,34,58,TRUE,0.905,58
1,35,52,TRUE,1,52
10,35,54,FALSE,0.04,54
11,35,58,TRUE,0.035,58
12,35,52,FALSE,0.005,52
13,35,60,FALSE,0.005,60
14,35,52,FALSE,0.005,52
15,35,52,FALSE,NA,52
16,35,86,FALSE,0.005,86
17,35,52,FALSE,0.005,52
2,35,52,TRUE,0.96,52
3,35,58,TRUE,1,58
4,35,52,TRUE,1,52
5,35,58,TRUE,0.95,58
6,35,58,TRUE,0.97,58
7,35,58,TRUE,0.915,58
8,35,58,TRUE,0.945,58
9,35,52,FALSE,0.655,52
1,36,52,FALSE,0.755,52
10,36,53,FALSE,0.13,53
