"node";"tree_age";"tree_simulation_number";"prob"
52;11;32;0
52;12;32;0
52;13;32;0
52;14;32;0
52;15;32;0
52;16;32;0
52;17;32;0
52;2;32;0,17
52;3;32;0,125
52;4;32;0,03
52;5;32;0
52;6;32;0,06
52;7;32;0
52;8;32;0
52;9;32;0
63;1;33;1
63;10;33;0
63;11;33;0
63;12;33;0
63;13;33;0
63;14;33;0
63;15;33;0
63;16;33;0
63;17;33;0
63;2;33;0,635
63;3;33;0,065
63;4;33;0
63;5;33;0
63;6;33;0
63;7;33;0
63;8;33;0
63;9;33;0
66;1;34;1
66;10;34;0
66;11;34;0
66;12;34;0
66;13;34;0
66;14;34;0
66;15;34;0
66;16;34;0
66;17;34;0
66;2;34;0,99
66;3;34;0,945
66;4;34;0,14
66;5;34;0
66;6;34;0
66;7;34;0
66;8;34;0
66;9;34;0
52;1;35;1
52;10;35;0
52;11;35;0
52;12;35;0
52;13;35;0
52;14;35;0
52;15;35;0
52;16;35;0
52;17;35;0
52;2;35;0,095
52;3;35;0,87
52;4;35;0,105
52;5;35;0
52;6;35;0,015
52;7;35;0,015
52;8;35;0
52;9;35;0
52;1;36;0,96
52;10;36;0
52;11;36;0
52;12;36;0
52;13;36;0
52;14;36;0
52;15;36;0
52;16;36;0
52;17;36;0
52;2;36;0,985
52;3;36;0,965
52;4;36;0
52;5;36;0
52;6;36;0
52;7;36;0
52;8;36;0
52;9;36;0
66;1;37;0,99
66;10;37;0
66;11;37;0
66;12;37;0
66;13;37;0
66;14;37;0
66;15;37;0
66;16;37;0
66;17;37;0
66;2;37;0,98
66;3;37;0,895
66;4;37;0,03
66;5;37;0,085
66;6;37;0,005
66;7;37;0,02
66;8;37;0
66;9;37;0
52;1;38;0,99
52;10;38;0
52;11;38;0
52;12;38;0
52;13;38;0
52;14;38;0
52;15;38;0
52;16;38;0
52;17;38;0
52;2;38;0,665
52;3;38;1
52;4;38;0,885
52;5;38;0,905
52;6;38;0,01
52;7;38;0
52;8;38;0
52;9;38;0
75;1;39;0,995
75;10;39;0
75;11;39;0
75;12;39;0
75;13;39;0
75;14;39;0
75;15;39;0
75;16;39;0
75;17;39;0
75;2;39;0,98
75;3;39;0,2
75;4;39;0,305
75;5;39;0,035
75;6;39;0
75;7;39;0
75;8;39;0
75;9;39;0
71;1;4;0,88
71;10;4;0
71;11;4;0
71;12;4;0
71;13;4;0
71;14;4;0
71;15;4;0
71;16;4;0
71;17;4;0
71;2;4;0,285
71;3;4;0,215
71;4;4;0,945
71;5;4;0
71;6;4;0
71;7;4;0
71;8;4;0
71;9;4;0
52;1;40;1
52;10;40;0
52;11;40;0
52;12;40;0
52;13;40;0
52;14;40;0
52;15;40;0
52;16;40;0
52;17;40;0
52;2;40;0,81
52;3;40;0,98
52;4;40;0
52;5;40;0
52;6;40;0,02
52;7;40;0
52;8;40;0
52;9;40;0
52;1;41;1
52;10;41;0
52;11;41;0,005
52;12;41;0
52;13;41;0
52;14;41;0
52;15;41;0
52;16;41;0
52;17;41;0
52;2;41;1
52;3;41;1
52;4;41;0,825
52;5;41;0,895
52;6;41;0,33
52;7;41;0,165
52;8;41;0,035
52;9;41;0,005
52;1;42;1
52;10;42;0
52;11;42;0
52;12;42;0
52;13;42;0
52;14;42;0
52;15;42;0
52;16;42;0
52;17;42;0
52;2;42;0,815
52;3;42;0,215
52;4;42;0,365
52;5;42;0,175
52;6;42;0
52;7;42;0
52;8;42;0
52;9;42;0
83;1;43;0,525
83;10;43;0
