trait,sens,mean_value,cognate_id,max_value,ratio_value_max,n_traits,mean_outgroup,root_form,mean_root_age
2668,mouth,1.932,1233,8.214,0.235,36,0.111,*reu̯H-,8.213838621645293
2669,mouth,1.591,2004,8.214,0.194,36,0.111,NA,8.213838621645293
2670,mouth,4.154,6204,8.214,0.506,36,0.111,NA,8.213838621645293
2671,mouth,0.77,4830,8.214,0.094,36,0.111,?*gʰeu̯bʰ-,8.213838621645293
2672,mouth,2.773,1725,8.214,0.338,36,0.111,NA,8.213838621645293
2674,mouth,0.757,7173,8.214,0.092,36,0.111,NA,8.213838621645293
2675,mouth,2.553,6572,8.214,0.311,36,0.111,NA,8.213838621645293
2677,mouth,0.77,5636,8.214,0.094,36,0.111,NA,8.213838621645293
2678,mouth,2.664,2346,8.214,0.324,36,0.111,*g̑ʰeh₁i̯-,8.213838621645293
2679,mouth,0.86,2340,8.214,0.105,36,0.111,NA,8.213838621645293
2695,nail,8.214,2268,8.214,1,6,0.333,*h₃neg⁽ʷ⁾ʰ-,8.213838621645293
2696,nail,2.752,5456,8.214,0.335,6,0.333,NA,8.213838621645293
2697,nail,4.782,3385,8.214,0.582,6,0.333,*k̑er-,8.213838621645293
2701,name,8.214,82,8.214,1,5,0.5,*Hneh₃-mn̥,8.213838621645293
2702,name,2.916,1867,8.214,0.355,5,0.5,*u̯erdʰ-,8.213838621645293
2706,narrow,7.732,263,7.732,1,31,0,*h₂emg̑ʰ-,8.213838621645293
2707,narrow,4.988,2807,7.732,0.645,31,0,NA,8.213838621645293
2708,narrow,3.41,2811,7.732,0.441,31,0,NA,8.213838621645293
2709,narrow,5.306,1511,7.732,0.686,31,0,NA,8.213838621645293
2710,narrow,2.611,2814,7.732,0.338,31,0,*trenk-,8.213838621645293
2711,narrow,2.871,2809,7.732,0.371,31,0,NA,8.213838621645293
2712,narrow,0.869,3247,7.732,0.112,31,0,*(h₁)ner-,8.213838621645293
2713,narrow,0.441,9874,7.732,0.057,31,0,NA,8.213838621645293
2714,narrow,2.606,6121,7.732,0.337,31,0,NA,8.213838621645293
2715,narrow,2.752,5643,7.732,0.356,31,0,NA,8.213838621645293
2716,narrow,1.976,4064,7.732,0.256,31,0,*pet-,8.213838621645293
2717,narrow,2.294,2810,7.732,0.297,31,0,NA,8.213838621645293
2718,narrow,2.858,2808,7.732,0.37,31,0,NA,8.213838621645293
2719,narrow,1.965,2806,7.732,0.254,31,0,NA,8.213838621645293
2720,narrow,4.315,83,7.732,0.558,31,0,*temk-,8.213838621645293
2722,narrow,1.168,5642,7.732,0.151,31,0,NA,8.213838621645293
2723,narrow,1.136,1726,7.732,0.147,31,0,NA,8.213838621645293
2724,narrow,2.847,797,7.732,0.368,31,0,NA,8.213838621645293
2737,navel,8.176,5026,8.176,1,24,0,*h₃nebʰ-,8.213838621645293
2739,navel,2.745,5145,8.176,0.336,24,0,NA,8.213838621645293
2740,navel,2.957,7244,8.176,0.362,24,0,NA,8.213838621645293
2741,navel,1.72,7411,8.176,0.21,24,0,NA,8.213838621645293
2742,navel,2.606,5991,8.176,0.319,24,0,NA,8.213838621645293
2743,navel,0.775,6313,8.176,0.095,24,0,NA,8.213838621645293
2761,near,2.857,3318,6.447,0.443,41,0,*ned⁽ʰ⁾-,8.213838621645293
2762,near,2.745,1157,6.447,0.426,41,0,*bʰlei̯g̑-,8.213838621645293
2763,near,4.349,264,6.447,0.675,41,0,NA,8.213838621645293
2764,near,6.379,84,6.447,0.989,41,0,NA,8.213838621645293
2765,near,5.219,2158,6.447,0.81,41,0,NA,8.213838621645293
2766,near,3.177,1512,6.447,0.493,41,0,*k̑ent-,8.213838621645293
2767,near,3.355,1398,6.447,0.52,41,0,NA,8.213838621645293
2768,near,5.004,1266,6.447,0.776,41,0,"*pr̥-, *pró, *prí",8.213838621645293
2769,near,6.447,8259,6.447,1,41,0,*sed-,8.213838621645293
2770,near,3.881,4160,6.447,0.602,41,0,NA,8.213838621645293
2771,near,2.766,3830,6.447,0.429,41,0,*to-,8.213838621645293
2772,near,2.51,2822,6.447,0.389,41,0,*u̯ei̯k̑-,8.213838621645293
2773,near,0.756,2821,6.447,0.117,41,0,NA,8.213838621645293
2774,near,1.168,1035,6.447,0.181,41,0,NA,8.213838621645293
2775,near,2.606,618,6.447,0.404,41,0,?*meHd-,8.213838621645293
2776,near,2.752,442,6.447,0.427,41,0,NA,8.213838621645293
2777,near,0.302,6521,6.447,0.047,41,0,*pe⁽k̑⁾tu-,8.213838621645293
2778,near,1.21,6498,6.447,0.188,41,0,NA,8.213838621645293
2779,near,4.081,4397,6.447,0.633,41,0,*h₂ent-,8.213838621645293
2780,near,0.868,2820,6.447,0.135,41,0,NA,8.213838621645293
2781,near,2.778,2816,6.447,0.431,41,0,NA,8.213838621645293
2782,near,1.306,1610,6.447,0.203,41,0,NA,8.213838621645293
2802,neck,8.134,1728,8.134,1,40,0,*men-,8.213838621645293
2803,neck,7.024,265,8.134,0.863,40,0,*kólso-,8.213838621645293
2804,neck,4.081,4144,8.134,0.502,40,0,*gʷriH-u̯eh₂-,8.213838621645293
2805,neck,5.293,5034,8.134,0.651,40,0,NA,8.213838621645293
2806,neck,2.745,1203,8.134,0.338,40,0,*si̯eu̯H-,8.213838621645293
2807,neck,2.703,8396,8.134,0.332,40,0,*u̯ert-,8.213838621645293
2808,neck,2.961,1036,8.134,0.364,40,0,NA,8.213838621645293
2809,neck,2.09,8693,8.134,0.257,40,0,NA,8.213838621645293
2810,neck,3.664,7596,8.134,0.45,40,0,NA,8.213838621645293
2811,neck,2.343,4143,8.134,0.288,40,0,NA,8.213838621645293
2812,neck,0.122,2348,8.134,0.015,40,0,NA,8.213838621645293
2813,neck,1.792,1513,8.134,0.22,40,0,NA,8.213838621645293
2814,neck,2.916,1868,8.134,0.359,40,0,NA,8.213838621645293
2815,neck,2.752,443,8.134,0.338,40,0,NA,8.213838621645293
2816,neck,1.361,9549,8.134,0.167,40,0,NA,8.213838621645293
2817,neck,1.51,8051,8.134,0.186,40,0,NA,8.213838621645293
2818,neck,3.17,6065,8.134,0.39,40,0,NA,8.213838621645293
2820,neck,2.778,4128,8.134,0.342,40,0,NA,8.213838621645293
2821,neck,0.757,3280,8.134,0.093,40,0,*bʰerg̑ʰ-,8.213838621645293
2822,neck,1.108,2525,8.134,0.136,40,0,NA,8.213838621645293
2823,neck,0.613,2350,8.134,0.075,40,0,NA,8.213838621645293
2824,neck,0.302,912,8.134,0.037,40,0,NA,8.213838621645293
2842,new,8.214,86,8.214,1,9,0.2,*neu̯-,8.213838621645293
2843,new,3.17,1514,8.214,0.386,9,0.2,*ken-,8.213838621645293
2844,new,2.203,2352,8.214,0.268,9,0.2,NA,8.213838621645293
2845,new,2.752,444,8.214,0.335,9,0.2,*h₃er-,8.213838621645293
2846,new,0.86,2351,8.214,0.105,9,0.2,"*h₂ei̯-u-, *h₂oi̯-u-, *h₂i̯-eu̯-",8.213838621645293
2851,night,8.214,266,8.214,1,9,0.333,*negʷ-,8.213838621645293
2852,night,8.181,87,8.214,0.996,9,0.333,*k⁽ʷ⁾sep-,8.213838621645293
2853,night,6.593,799,8.214,0.803,9,0.333,*h₁reh₁-,8.213838621645293
2854,night,2.606,619,8.214,0.317,9,0.333,?*u̯e-k⁽ʷ⁾sp-ero-,8.213838621645293
2855,night,2.776,1729,8.214,0.338,9,0.333,NA,8.213838621645293
2857,night,2.664,5083,8.214,0.324,9,0.333,*h₂u̯es-,8.213838621645293
2860,nose,8.07,267,8.07,1,24,0.083,*(H)nā̆s-,8.213838621645293
2861,nose,5.219,1037,8.07,0.647,24,0.083,NA,8.213838621645293
2862,nose,3.181,1515,8.07,0.394,24,0.083,*meu̯k-,8.213838621645293
2863,nose,2.103,2005,8.07,0.261,24,0.083,NA,8.213838621645293
2864,nose,2.09,9216,8.07,0.259,24,0.083,NA,8.213838621645293
