"node","p_node","node_parent","p_parent","tree","trait"
222,0,"water",221,0,132,4700
223,0,"water",222,0,132,4700
224,0.001,"water",212,0.001,132,4700
225,0.001,"water",211,0.011,132,4700
226,0,"water",225,0.001,132,4700
227,0,"water",226,0,132,4700
228,0,"water",227,0,132,4700
229,0,"water",228,0,132,4700
230,0,"water",226,0,132,4700
231,0,"water",225,0.001,132,4700
232,0,"water",231,0,132,4700
233,0.017,"water",210,0.091,132,4700
234,0.008,"water",233,0.017,132,4700
235,0.002,"water",234,0.008,132,4700
236,0,"water",235,0.002,132,4700
237,0,"water",236,0,132,4700
238,0,"water",235,0.002,132,4700
239,0,"water",238,0,132,4700
240,0,"water",238,0,132,4700
241,0,"water",240,0,132,4700
242,0.001,"water",233,0.017,132,4700
243,0,"water",242,0.001,132,4700
244,0,"water",242,0.001,132,4700
245,0.017,"water",209,0.122,132,4700
246,0.01,"water",245,0.017,132,4700
247,0.004,"water",246,0.01,132,4700
248,0.001,"water",247,0.004,132,4700
249,0.001,"water",246,0.01,132,4700
250,0,"water",249,0.001,132,4700
251,0,"water",250,0,132,4700
252,0,"water",251,0,132,4700
253,0,"water",252,0,132,4700
254,0,"water",253,0,132,4700
255,0,"water",254,0,132,4700
256,0,"water",254,0,132,4700
257,0,"water",251,0,132,4700
258,0,"water",257,0,132,4700
259,0,"water",257,0,132,4700
260,0,"water",259,0,132,4700
261,0,"water",259,0,132,4700
262,0,"water",250,0,132,4700
263,0,"water",262,0,132,4700
264,0,"water",263,0,132,4700
265,0,"water",264,0,132,4700
266,0,"water",249,0.001,132,4700
267,0.002,"water",245,0.017,132,4700
268,0.999,"water",161,0.547,132,4700
269,1,"water",268,0.999,132,4700
270,1,"water",269,1,132,4700
271,1,"water",270,1,132,4700
272,1,"water",271,1,132,4700
273,0.999,"water",272,1,132,4700
274,0.999,"water",273,0.999,132,4700
275,1,"water",274,0.999,132,4700
276,0.447,"water",273,0.999,132,4700
277,0.222,"water",276,0.447,132,4700
