value,sens,t
7.71617304834386,the_mouse_or_rat,1
4.28820584803748,the_mouth,1
7.28224393205341,the_mouth,1
7.92044980971847,the_mouth,1
7.26634818887714,the_mouth,1
5.59386942596695,the_mouth,1
7.87456818983595,the_mouth,1
7.71617304834386,the_mouth,1
6.72938040192046,the_root,1
7.71617304834386,the_root,1
7.75458473385007,the_root,1
7.92044980971847,the_root,1
7.87456818983595,the_root,1
6.23429006096096,the_root,1
7.75458473385007,thin_object,1
7.87456818983595,thin_object,1
7.71617304834386,thin_object,1
7.92044980971847,thin_object,1
7.28224393205341,to_hide_conceal,1
7.75458473385007,to_hide_conceal,1
7.92044980971847,to_hide_conceal,1
7.87456818983595,to_hide_conceal,1
7.26634818887714,to_hide_conceal,1
6.81753682808529,to_hide_conceal,1
6.23429006096096,to_hide_conceal,1
5.92403580812047,wet,1
7.28224393205341,wet,1
7.92044980971847,wet,1
7.26634818887714,wet,1
6.23429006096096,wet,1
7.71617304834386,wet,1
7.87456818983595,wet,1
7.96628764056271,dry,2
6.23256782646198,dry,2
6.92929998268006,dry,2
7.96628764056271,dry,2
7.96284595349656,dry,2
6.92929998268006,dry,2
6.31404459214059,dry,2
6.23256782646198,dry,2
7.1726858335308,dry,2
8.12575432918029,dry,2
6.44748889452933,dry,2
5.82966387035019,dry,2
8.12575432918029,eight,2
6.44748889452933,eight,2
7.96284595349656,high_tall,2
5.77134393702421,high_tall,2
7.96628764056271,high_tall,2
6.31404459214059,high_tall,2
7.58506093795967,high_tall,2
8.12575432918029,high_tall,2
6.44748889452933,high_tall,2
5.82966387035019,high_tall,2
7.96284595349656,inside,2
6.92929998268006,inside,2
7.96628764056271,inside,2
6.31404459214059,inside,2
8.12575432918029,inside,2
5.48222026477396,inside,2
6.44748889452933,inside,2
6.31404459214059,many,2
6.92929998268006,many,2
7.96628764056271,many,2
7.96284595349656,many,2
6.57006080439981,many,2
8.12575432918029,many,2
6.23256782646198,sharp,2
4.23701073989818,sharp,2
7.96628764056271,sharp,2
6.92929998268006,sharp,2
8.12575432918029,sharp,2
7.96284595349656,sharp,2
6.44748889452933,sharp,2
4.23701073989818,the_ant,2
6.23256782646198,the_ant,2
8.12575432918029,the_ant,2
5.90327283206421,the_ant,2
7.96628764056271,the_ant,2
8.12575432918029,the_breast_female,2
5.82966387035019,the_breast_female,2
7.58506093795967,the_breast_female,2
7.96628764056271,the_breast_female,2
7.96284595349656,the_dew,2
7.96628764056271,the_dew,2
7.83229882867836,the_dew,2
8.12575432918029,the_dew,2
6.92929998268006,the_dew,2
4.23701073989818,the_grass,2
8.12575432918029,the_grass,2
7.65260706713593,the_grass,2
7.83229882867836,the_grass,2
7.96628764056271,the_grass,2
6.92929998268006,the_grass,2
5.82966387035019,the_grass,2
7.10908543223074,the_head,2
7.83229882867836,the_head,2
5.90327283206421,the_head,2
7.96628764056271,the_head,2
7.96284595349656,the_head,2
8.12575432918029,the_head,2
6.31404459214059,the_head,2
7.96628764056271,the_louse,2
8.12575432918029,the_louse,2
6.44748889452933,the_louse,2
8.12575432918029,the_meat,2
6.44748889452933,the_meat,2
6.23757376502652,the_meat,2
7.96628764056271,the_meat,2
4.23701073989818,the_mouse_or_rat,2
7.96628764056271,the_mouse_or_rat,2
6.44748889452933,the_mouse_or_rat,2
8.12575432918029,the_mouse_or_rat,2
7.96284595349656,the_mouse_or_rat,2
4.23701073989818,the_mouth,2
7.65260706713593,the_mouth,2
7.96628764056271,the_mouth,2
7.58506093795967,the_mouth,2
5.82966387035019,the_mouth,2
8.12575432918029,the_mouth,2
7.96284595349656,the_mouth,2
6.92929998268006,the_root,2
7.96284595349656,the_root,2
7.83229882867836,the_root,2
7.96628764056271,the_root,2
8.12575432918029,the_root,2
6.44748889452933,the_root,2
7.83229882867836,thin_object,2
8.12575432918029,thin_object,2
7.96284595349656,thin_object,2
7.96628764056271,thin_object,2
5.48222026477396,thin_object,2
7.65260706713593,to_hide_conceal,2
7.83229882867836,to_hide_conceal,2
7.96628764056271,to_hide_conceal,2
8.12575432918029,to_hide_conceal,2
7.58506093795967,to_hide_conceal,2
7.10908543223074,to_hide_conceal,2
