"tree_age","tree_simulation_number","node","state","T_F_U"
2,1,82,"regular",TRUE
2,1,83,"regular",TRUE
2,1,84,"regular",TRUE
2,1,85,"regular",TRUE
2,1,86,"regular",TRUE
2,1,87,"regular",TRUE
2,1,88,"regular",TRUE
2,1,89,"regular",TRUE
2,1,90,"regular",TRUE
2,1,91,"regular",TRUE
2,1,92,"regular",TRUE
2,1,93,"regular",TRUE
2,1,94,"regular",TRUE
2,1,95,"regular",TRUE
2,1,96,"regular",TRUE
2,1,97,"regular",TRUE
2,1,98,"regular",TRUE
2,1,99,"regular",TRUE
3,1,51,"regular",TRUE
3,1,52,"regular",TRUE
3,1,53,"regular",TRUE
3,1,54,"regular",TRUE
3,1,55,"regular",TRUE
3,1,56,"regular",TRUE
3,1,57,"regular",TRUE
3,1,58,"regular",TRUE
3,1,59,"regular",TRUE
3,1,60,"regular",TRUE
3,1,61,"regular",TRUE
3,1,62,"rateau",TRUE
3,1,63,"rateau",TRUE
3,1,64,"rateau",FALSE
3,1,65,"rateau",FALSE
3,1,66,"regular",TRUE
3,1,67,"regular",TRUE
3,1,68,"regular",TRUE
3,1,69,"regular",TRUE
3,1,70,"rateau",TRUE
3,1,71,"rateau",FALSE
3,1,72,"rateau",TRUE
3,1,73,"rateau",TRUE
3,1,74,"regular",TRUE
3,1,75,"regular",TRUE
3,1,76,"regular",TRUE
3,1,77,"regular",TRUE
3,1,78,"regular",TRUE
3,1,79,"regular",TRUE
3,1,80,"regular",TRUE
3,1,81,"regular",TRUE
3,1,82,"regular",TRUE
3,1,83,"regular",TRUE
3,1,84,"regular",TRUE
3,1,85,"regular",TRUE
3,1,86,"regular",TRUE
3,1,87,"regular",TRUE
3,1,88,"regular",TRUE
3,1,89,"regular",TRUE
3,1,90,"regular",TRUE
3,1,91,"regular",TRUE
3,1,92,"regular",TRUE
3,1,93,"regular",TRUE
3,1,94,"regular",TRUE
3,1,95,"rateau",TRUE
3,1,96,"regular",TRUE
3,1,97,"rateau",TRUE
3,1,98,"regular",TRUE
3,1,99,"regular",TRUE
