"age","simulation","node_cs","node_mcc","cs_prob","mcc_prob"
5,33,56,52,0.58,0.01
3,38,52,52,0.775,NA
15,2,12,52,NA,0.005
4,24,52,52,0.71,0.045
17,6,27,86,NA,0.005
7,29,63,52,0.52,0.095
9,10,73,52,0.515,0.005
2,6,52,52,0.745,0.435
5,42,74,52,0.66,NA
6,33,55,53,0.58,0.015
5,15,68,52,0.7,0.015
17,47,26,52,NA,0.005
3,6,52,52,0.89,0.465
16,2,56,52,0.96,NA
8,29,62,52,0.635,0.01
7,33,66,52,0.57,NA
5,24,84,52,0.765,0.09
6,42,70,52,0.735,0.005
4,6,52,52,0.63,0.035
4,38,73,52,0.885,0.985
8,33,60,52,0.615,0.005
6,15,75,52,0.645,NA
7,42,52,75,0.52,0.005
5,6,52,52,0.56,0.07
2,47,52,52,0.67,0.265
6,24,74,52,0.52,0.005
1,11,52,52,0.965,0.965
9,29,52,52,0.74,0.005
8,42,59,54,0.54,0.015
7,24,60,55,0.84,0.08
7,15,52,52,0.81,NA
9,33,56,59,0.535,0.005
3,47,52,52,0.695,0.245
6,6,62,52,0.78,0.24
8,24,65,57,0.685,0.02
9,42,63,60,0.78,0.005
8,15,58,87,0.625,0.02
17,2,56,52,0.88,0.005
10,11,58,54,0.77,0.005
5,38,52,52,0.62,0.35
9,15,55,52,0.935,0.005
4,47,52,52,0.66,NA
1,3,52,52,0.585,0.585
7,6,73,52,0.605,0.015
1,43,80,69,0.525,0.71
1,34,80,52,0.675,0.37
9,24,62,71,0.525,0.005
6,38,52,52,0.615,0.07
10,3,52,52,0.51,0.005
11,11,58,52,0.995,0.005
10,43,1,52,NA,0.005
8,6,69,53,0.54,0.015
1,25,77,52,0.79,0.495
5,47,52,52,0.54,0.195
2,2,68,52,0.69,0.24
12,11,60,52,0.61,0.005
6,47,72,52,0.54,0.01
1,16,52,52,0.99,0.99
10,34,76,52,0.7,0.01
9,6,65,52,0.505,0.005
11,3,68,80,1,0.005
13,11,52,52,0.515,0.005
11,43,66,90,0.965,0.005
11,34,58,52,0.75,0.005
7,47,52,52,0.79,0.02
7,38,57,55,0.76,0.135
10,25,68,52,0.59,0.005
1,7,83,88,0.755,0.755
3,2,52,52,0.85,0.85
8,38,57,52,0.655,0.035
10,16,58,52,0.55,0.005
9,38,65,52,0.57,0.005
14,11,54,52,0.665,0.005
10,7,52,52,0.585,0.005
1,39,77,52,0.995,0.995
11,16,62,52,0.665,0.005
12,43,68,52,0.505,0.005
8,47,68,52,0.675,0.005
4,2,60,56,0.625,0.345
15,11,52,52,1,0.005
12,34,66,69,0.54,0.005
12,16,61,52,0.53,0.005
16,11,40,54,NA,0.005
5,2,52,52,0.595,NA
13,34,64,59,0.69,0.005
11,25,52,52,0.985,0.005
13,43,65,52,0.995,0.005
13,16,16,52,NA,0.005
6,2,71,98,0.75,0.015
10,39,57,52,0.58,0.005
14,34,58,52,1,0.005
14,16,52,52,0.69,0.005
12,3,52,66,1,0.005
14,43,62,52,0.815,0.005
9,47,70,52,0.58,0.005
17,11,29,56,NA,0.005
15,34,69,53,0.525,0.005
13,3,59,52,0.645,0.005
1,48,75,52,0.54,0.26
16,34,64,61,0.95,0.005
14,3,53,52,0.7,0.005
11,39,75,52,0.545,0.005
7,2,57,52,0.605,0.005
12,25,65,52,0.745,0.005
10,48,62,52,0.54,0.005
2,11,52,52,0.585,0.585
15,16,33,52,NA,0.005
8,2,67,52,0.51,0.015
15,43,62,52,0.61,0.005
11,7,52,52,0.595,0.005
16,16,7,52,NA,0.005
9,2,66,52,0.55,0.005
11,48,52,52,0.895,0.005
12,7,59,71,0.585,0.005
12,39,59,52,0.72,0.005
17,34,65,75,1,0.005
1,20,52,52,0.505,0.34
15,3,67,61,0.715,0.005
13,25,38,52,NA,0.005
13,39,71,52,1,0.005
16,3,66,52,1,0.005
3,11,52,52,0.58,0.13
12,48,58,52,0.515,0.005
17,16,36,52,NA,0.005
13,7,60,52,1,0.005
16,43,52,52,0.525,0.005
14,25,52,52,0.925,0.005
17,3,54,52,0.72,0.005
13,48,69,52,0.635,0.005
4,11,52,95,0.735,0.295
14,7,66,52,0.64,0.005
2,34,52,52,0.58,0.58
14,48,55,52,1,0.005
15,25,58,52,0.995,0.005
14,39,74,52,0.695,0.01
17,43,58,52,1,0.005
15,7,62,52,0.775,0.005
10,20,63,52,0.605,0.005
16,7,63,52,0.51,0.005
3,34,52,66,0.525,0.525
15,39,65,52,0.65,0.005
2,43,52,57,0.7,0.7
2,16,52,65,0.87,0.87
16,39,62,52,0.63,0.005
15,48,52,52,0.75,0.005
17,7,54,52,0.525,0.005
