trait,sens,mean_value,cognate_id,max_value,ratio_value_max,n_traits,mean_outgroup,root_form
73,back,0.302,6524,6.865,0.044,41,0,NA
74,back,2.455,6350,6.865,0.358,41,0,NA
75,back,2.606,5887,6.865,0.38,41,0,NA
76,back,0.759,5295,6.865,0.111,41,0,NA
77,back,2.778,4976,6.865,0.405,41,0,NA
78,back,4.37,1637,6.865,0.637,41,0,NA
97,bad,4.651,852,5.423,0.858,75,0.043,NA
98,bad,5.304,7332,5.423,0.978,75,0.043,NA
99,bad,4.413,2190,5.423,0.814,75,0.043,NA
100,bad,3.613,2195,5.423,0.666,75,0.043,NA
101,bad,5.181,2137,5.423,0.955,75,0.043,NA
102,bad,2.52,2038,5.423,0.465,75,0.043,NA
103,bad,2.603,1197,5.423,0.48,75,0.043,*g̑ʰu̯el-
104,bad,1.115,181,5.423,0.206,75,0.043,*slei̯g̑-
105,bad,1.407,1106,5.423,0.259,75,0.043,NA
106,bad,0.774,4823,5.423,0.143,75,0.043,NA
107,bad,0.441,3853,5.423,0.081,75,0.043,NA
108,bad,2.183,2192,5.423,0.403,75,0.043,NA
111,bad,3.757,7088,5.423,0.693,75,0.043,NA
112,bad,1.835,7086,5.423,0.338,75,0.043,NA
114,bad,0.759,6597,5.423,0.14,75,0.043,NA
117,bad,0.474,4895,5.423,0.087,75,0.043,*(s)leb-
118,bad,2.606,4889,5.423,0.481,75,0.043,NA
119,bad,1.505,4813,5.423,0.278,75,0.043,NA
120,bad,5.423,3299,5.423,1,75,0.043,NA
121,bad,2.328,3192,5.423,0.429,75,0.043,NA
122,bad,0.799,2196,5.423,0.147,75,0.043,*keh₂p-
123,bad,2.583,2191,5.423,0.476,75,0.043,*u̯endʰ-
124,bad,0.81,970,5.423,0.149,75,0.043,NA
172,bark,2.745,7796,5.476,0.501,43,0,*(s)ker-
173,bark,5.004,182,5.476,0.914,43,0,*(s)kert-
174,bark,5.219,971,5.476,0.953,43,0,*reu̯H-
175,bark,3.852,5,5.476,0.703,43,0,NA
176,bark,2.611,1305,5.476,0.477,43,0,NA
177,bark,5.304,1574,5.476,0.969,43,0,NA
178,bark,2.311,750,5.476,0.422,43,0,NA
179,bark,3.475,1438,5.476,0.635,43,0,NA
180,bark,5.476,1798,5.476,1,43,0,NA
181,bark,0.756,2465,5.476,0.138,43,0,NA
182,bark,2.606,570,5.476,0.476,43,0,NA
183,bark,1.764,9120,5.476,0.322,43,0,NA
184,bark,2.455,6796,5.476,0.448,43,0,NA
185,bark,0.759,6445,5.476,0.139,43,0,NA
187,bark,1.029,5309,5.476,0.188,43,0,NA
188,bark,0.757,3230,5.476,0.138,43,0,NA
215,belly,7.75,854,7.75,1,45,0.043,?*(H)u̯ed-
216,belly,2.906,1218,7.75,0.375,45,0.043,*bʰreu̯s-
