"node";"tree_age";"tree_simulation_number";"prob"
98;17;21;1
99;17;21;0,99
51;2;21;1
52;2;21;1
53;2;21;1
54;2;21;0,845
55;2;21;1
56;2;21;1
57;2;21;1
58;2;21;1
59;2;21;0,94
60;2;21;1
61;2;21;1
62;2;21;1
63;2;21;1
64;2;21;1
65;2;21;1
66;2;21;0,38
67;2;21;1
68;2;21;1
69;2;21;1
70;2;21;1
71;2;21;0,395
72;2;21;0,51
73;2;21;1
74;2;21;1
75;2;21;1
76;2;21;0,49
77;2;21;0,245
78;2;21;1
79;2;21;1
80;2;21;1
81;2;21;1
82;2;21;1
83;2;21;1
84;2;21;1
85;2;21;1
86;2;21;1
87;2;21;0,04
88;2;21;1
89;2;21;1
90;2;21;0,785
91;2;21;0,985
92;2;21;0,995
93;2;21;1
94;2;21;0,16
95;2;21;0,915
96;2;21;1
97;2;21;1
98;2;21;1
99;2;21;1
51;3;21;1
52;3;21;1
53;3;21;1
54;3;21;0,685
55;3;21;1
56;3;21;1
57;3;21;1
58;3;21;1
59;3;21;0,125
60;3;21;1
61;3;21;1
62;3;21;1
63;3;21;1
64;3;21;1
65;3;21;1
66;3;21;0,1
67;3;21;1
68;3;21;1
69;3;21;0,065
70;3;21;1
71;3;21;0,1
72;3;21;0,895
73;3;21;1
74;3;21;1
75;3;21;1
76;3;21;0,775
77;3;21;0,605
78;3;21;1
79;3;21;1
80;3;21;1
81;3;21;1
82;3;21;1
83;3;21;1
84;3;21;1
85;3;21;1
86;3;21;1
87;3;21;0,18
88;3;21;1
89;3;21;1
90;3;21;0,955
91;3;21;0,905
92;3;21;1
93;3;21;1
94;3;21;0,19
95;3;21;0,71
96;3;21;1
97;3;21;1
98;3;21;1
99;3;21;1
51;4;21;1
52;4;21;1
53;4;21;0,965
54;4;21;0,965
55;4;21;1
56;4;21;0,995
57;4;21;1
58;4;21;1
59;4;21;0,97
60;4;21;0,995
61;4;21;1
62;4;21;1
63;4;21;1
64;4;21;1
65;4;21;1
66;4;21;0,57
67;4;21;1
68;4;21;0,86
69;4;21;0,065
70;4;21;0,855
71;4;21;0,275
72;4;21;0,02
73;4;21;1
74;4;21;1
75;4;21;1
76;4;21;0,01
77;4;21;0,285
78;4;21;1
79;4;21;1
80;4;21;1
81;4;21;1
82;4;21;0,995
83;4;21;1
84;4;21;1
85;4;21;1
86;4;21;1
87;4;21;0,01
88;4;21;1
89;4;21;1
90;4;21;0,035
91;4;21;1
92;4;21;1
93;4;21;1
94;4;21;0,545
95;4;21;0,37
96;4;21;1
97;4;21;1
98;4;21;1
99;4;21;1
51;5;21;1
52;5;21;0,61
53;5;21;0,985
54;5;21;0,64
55;5;21;1
56;5;21;0,94
57;5;21;1
58;5;21;1
59;5;21;0,625
60;5;21;0,895
61;5;21;1
62;5;21;1
63;5;21;1
64;5;21;1
65;5;21;1
66;5;21;0,03
67;5;21;1
68;5;21;0,505
69;5;21;0
70;5;21;0,2
71;5;21;0,86
72;5;21;0,41
73;5;21;1
74;5;21;1
75;5;21;1
76;5;21;0,21
77;5;21;0,95
78;5;21;0,995
79;5;21;1
80;5;21;1
81;5;21;1
82;5;21;0,995
83;5;21;1
84;5;21;1
85;5;21;1
86;5;21;1
87;5;21;0,08
88;5;21;1
89;5;21;1
90;5;21;0,075
91;5;21;0,785
92;5;21;0,95
93;5;21;1
94;5;21;0,44
95;5;21;0,31
96;5;21;1
97;5;21;1
98;5;21;1
99;5;21;1
51;6;21;1
52;6;21;0,075
53;6;21;0,26
54;6;21;0,465
55;6;21;0,76
56;6;21;0,995
57;6;21;1
58;6;21;1
59;6;21;0,455
60;6;21;1
61;6;21;1
62;6;21;1
63;6;21;1
64;6;21;1
65;6;21;1
66;6;21;0,01
67;6;21;0,085
68;6;21;0,985
69;6;21;0
70;6;21;0
71;6;21;0
72;6;21;0
73;6;21;1
74;6;21;1
75;6;21;1
76;6;21;0
77;6;21;0,345
78;6;21;0,92
79;6;21;0,975
80;6;21;0,995
81;6;21;1
82;6;21;0,125
83;6;21;1
84;6;21;1
85;6;21;1
86;6;21;1
87;6;21;0
88;6;21;0,345
89;6;21;1
90;6;21;0
91;6;21;0,065
92;6;21;0,87
93;6;21;0,93
94;6;21;0,075
95;6;21;0,99
96;6;21;0,74
97;6;21;1
98;6;21;1
99;6;21;1
51;7;21;1
52;7;21;0,045
53;7;21;0,795
54;7;21;0,175
55;7;21;0,555
56;7;21;0,785
57;7;21;1
58;7;21;1
59;7;21;0,08
60;7;21;0,67
61;7;21;1
62;7;21;1
63;7;21;1
64;7;21;1
65;7;21;1
66;7;21;0
67;7;21;0,645
68;7;21;0,99
69;7;21;0
70;7;21;0
71;7;21;0
72;7;21;0
73;7;21;1
74;7;21;1
75;7;21;1
76;7;21;0
77;7;21;0,02
78;7;21;0,975
79;7;21;0,99
80;7;21;0,145
81;7;21;1
82;7;21;0,315
83;7;21;1
84;7;21;1
85;7;21;1
86;7;21;1
87;7;21;0
88;7;21;0,705
89;7;21;1
90;7;21;0
91;7;21;0
92;7;21;0,81
93;7;21;0,97
94;7;21;0,065
95;7;21;0,025
96;7;21;1
97;7;21;1
98;7;21;1
99;7;21;1
51;8;21;1
52;8;21;0
53;8;21;0,025
54;8;21;0,625
55;8;21;0,07
56;8;21;0,675
57;8;21;1
58;8;21;1
59;8;21;0,59
60;8;21;0,955
61;8;21;1
62;8;21;1
63;8;21;0,995
64;8;21;1
65;8;21;1
66;8;21;0
67;8;21;0,075
68;8;21;1
69;8;21;0
70;8;21;0
71;8;21;0
72;8;21;0
73;8;21;0,95
74;8;21;1
75;8;21;1
76;8;21;0,075
77;8;21;0,425
78;8;21;0,805
79;8;21;0,74
80;8;21;0,04
81;8;21;1
82;8;21;0,025
83;8;21;1
84;8;21;1
85;8;21;1
86;8;21;1
87;8;21;0
88;8;21;0,66
89;8;21;1
90;8;21;0
91;8;21;0
92;8;21;0,03
93;8;21;1
94;8;21;0,115
95;8;21;0,025
