family,n_trees,N,k,pi0,pi1,mu,q,clock_rate,t_R,concept,n_cogsets,ub_DS,inf_t_DS,ub_DT,inf_t_DT
ST_by_sens,10001,50,3963,0.9921733822364882,0.00782661776351554,0.29980096477965656,1.0000000000000038,0.00779192876526109,10.354036868019524,the_leaf,23,3.3358124959136646,29.373,63.484653711519826,41.375
ST_by_sens,10001,50,3963,0.9912250750085466,0.00877492499145207,0.3001123905317888,0.9999999999999988,0.00779192876526109,10.354036868019524,to_cry_weep,18,3.3274566225657316,28.962,49.538819215075115,41.333
ST_by_sens,10001,50,3963,0.9937243099181744,0.0062756900818272,0.30186875544703984,1.0000000000000016,0.00779192876526109,10.354036868019524,the_star,24,3.2886166692978365,29.905,64.97352200521902,41.098
ST_by_sens,10001,50,3963,0.9951303932331236,0.00486960676687798,0.3047208339226694,1.0000000000000016,0.00779192876526109,10.354036868019524,hot,34,3.2244516490009016,30.459,89.61978872404929,40.723
ST_by_sens,10001,50,3963,0.9909025812962956,0.00909741870370129,0.3090241595944148,0.999999999999997,0.00779192876526109,10.354036868019524,the_sun,14,3.1248278765688307,28.015,35.44598174888336,40.17
ST_by_sens,10001,50,3963,0.995761442202516,0.00423855779748546,0.31094457481157245,1.000000000000001,0.00779192876526109,10.354036868019524,big,35,3.088447330448603,30.3,87.03826121484742,39.928
ST_by_sens,10001,50,3963,0.9943799946447368,0.00562000535526519,0.3129803198530323,1.000000000000002,0.00779192876526109,10.354036868019524,to_fly_move_through_air,29,3.0442226278542077,29.202,70.7586538290837,39.675
ST_by_sens,10001,50,3963,0.9915854160201094,0.00841458397989506,0.3128637078337552,1.0000000000000044,0.00779192876526109,10.354036868019524,the_earth_soil,27,3.0438582701276085,27.923,65.95054513184887,39.689
ST_by_sens,10001,50,3963,0.9799795459246636,0.0200204540753358,0.31245522335833376,0.9999999999999994,0.00779192876526109,10.354036868019524,red,20,3.0407881326340833,25.185,49.03902697685826,39.739
ST_by_sens,10001,50,3963,0.990543465004476,0.00945653499552447,0.3132893837341605,1.0000000000000004,0.00779192876526109,10.354036868019524,to_give,21,3.0339590961709293,27.513,51.09132295504814,39.636
ST_by_sens,10001,50,3963,0.995954363981234,0.00404563601876618,0.31835029588345576,1.0000000000000002,0.00779192876526109,10.354036868019524,the_mountain,38,2.936958439411617,29.746,88.18549177422963,39.022
ST_by_sens,10001,50,3963,0.991465307290926,0.00853469270907414,0.3205104232516258,1,0.00779192876526109,10.354036868019524,the_ant,24,2.890340943381607,27.217,54.58552733919329,38.766
ST_by_sens,10001,50,3963,0.9891465242396648,0.01085347576033347,0.3218463762808048,0.9999999999999982,0.00779192876526109,10.354036868019524,to_laugh,16,2.862427854915574,26.358,35.940080872060854,38.61
ST_by_sens,10001,50,3963,0.9855460520098172,0.01445394799018068,0.3272757678527977,0.9999999999999978,0.00779192876526109,10.354036868019524,the_egg,20,2.7583237373498197,25.049,42.710515562903154,37.987
ST_by_sens,10001,50,3963,0.9967336510570745,0.00326634894292742,0.3344503487964858,1.0000000000000018,0.00779192876526109,10.354036868019524,to_play,39,2.644952043839329,28.963,77.9131011453711,37.194
ST_by_sens,10001,50,3963,0.9912502497020984,0.00874975029790208,0.3343439813842815,1.0000000000000004,0.00779192876526109,10.354036868019524,early,24,2.641249591643082,26.025,47.99389760629678,37.206
ST_by_sens,10001,50,3963,0.9936642505763058,0.00633574942369282,0.3354197236255138,0.9999999999999988,0.00779192876526109,10.354036868019524,the_dust,21,2.625740682773841,26.905,41.577375581456,37.09
ST_by_sens,10001,50,3963,0.9852541897098832,0.01474581029011699,0.33624570477029003,1.0000000000000002,0.00779192876526109,10.354036868019524,the_tooth_front,16,2.6037016856480135,24.327,31.436097601401016,37.002
ST_by_sens,10001,50,3963,0.9960045313537106,0.00399546864628803,0.3379102736496345,0.9999999999999988,0.00779192876526109,10.354036868019524,the_mud,33,2.587332173007786,28.072,63.84339217655115,36.825
ST_by_sens,10001,50,3963,0.9785443925464536,0.02145560745354793,0.3372898400615114,1.0000000000000016,0.00779192876526109,10.354036868019524,the_liver,11,2.5799266704881934,23.14,21.40395725930629,36.89
ST_by_sens,10001,50,3963,0.990855953345864,0.00914404665413744,0.3384593746105311,1.0000000000000016,0.00779192876526109,10.354036868019524,new,19,2.573337823847376,25.581,36.571601455848715,36.767
ST_by_sens,10001,50,3963,0.996275962168246,0.00372403783175466,0.3405215922702738,1.0000000000000004,0.00779192876526109,10.354036868019524,the_woman,35,2.5459748497585437,28.065,66.09301062846478,36.551
ST_by_sens,10001,50,3963,0.9849789557086532,0.01502104429134395,0.341118076652942,0.9999999999999972,0.00779192876526109,10.354036868019524,the_rain,15,2.525323266785904,23.928,28.169434684280116,36.489
ST_by_sens,10001,50,3963,0.9939057153490164,0.00609428465098526,0.34211234448480254,1.0000000000000016,0.00779192876526109,10.354036868019524,to_wipe,33,2.5187828625324107,26.496,61.404501980479225,36.386
ST_by_sens,10001,50,3963,0.9966432220780448,0.00335677792195526,0.34236088618056626,1,0.00779192876526109,10.354036868019524,the_spider,37,2.5176783847105195,28.219,68.68914870793081,36.36
ST_by_sens,10001,50,3963,0.996172677880365,0.00382732211963491,0.34575704243259364,1,0.00779192876526109,10.354036868019524,to_push,37,2.465672690725004,27.564,66.56303104591139,36.014
ST_by_sens,10001,50,3963,0.9942743448350378,0.00572565516495798,0.3463247725212858,0.9999999999999958,0.00779192876526109,10.354036868019524,old_of_person,33,2.455331897028704,26.356,59.05599185718209,35.956
ST_by_sens,10001,50,3963,0.9845790428668,0.01542095713319532,0.3466158775193592,0.9999999999999952,0.00779192876526109,10.354036868019524,the_tongue,14,2.441326599951925,23.476,24.98667414825598,35.927
ST_by_sens,10001,50,3963,0.9885891284664264,0.01141087153357343,0.34886169431087427,1,0.00779192876526109,10.354036868019524,the_mouse_or_rat,19,2.412512061907682,24.189,33.21346279515624,35.703
ST_by_sens,10001,50,3963,0.9899194092873068,0.01008059071269062,0.3493346882035225,0.9999999999999976,0.00779192876526109,10.354036868019524,to_sleep,24,2.407024314239789,24.512,41.77080986957742,35.656
ST_by_sens,10001,50,3963,0.9163008271504536,0.08369917284954984,0.34674462547958923,1.000000000000003,0.00779192876526109,10.354036868019524,to_die,8,2.3711462606863885,18.589,14.261104087913038,35.914
