"tree_age","tree_simulation_number","RF_mean","RF_median","RF_min","RF_max","RF_sd"
2,42,0.111,0.112,0.02,0.163,0.028
3,42,0.183,0.184,0.082,0.265,0.04
4,42,0.222,0.224,0.143,0.286,0.032
5,42,0.252,0.245,0.163,0.347,0.033
6,42,0.315,0.306,0.224,0.408,0.035
7,42,0.378,0.388,0.286,0.469,0.037
8,42,0.391,0.388,0.306,0.469,0.036
9,42,0.432,0.429,0.327,0.551,0.043
1,43,0.055,0.061,0,0.143,0.028
10,43,0.44,0.449,0.327,0.551,0.04
11,43,0.508,0.51,0.408,0.592,0.036
12,43,0.562,0.551,0.469,0.653,0.035
13,43,0.583,0.571,0.49,0.653,0.033
14,43,0.635,0.633,0.551,0.714,0.036
15,43,0.662,0.653,0.592,0.755,0.033
16,43,0.693,0.694,0.633,0.735,0.024
17,43,0.693,0.694,0.612,0.776,0.027
2,43,0.123,0.122,0.041,0.224,0.029
3,43,0.136,0.143,0.102,0.204,0.023
4,43,0.198,0.204,0.082,0.327,0.041
5,43,0.23,0.224,0.102,0.306,0.03
6,43,0.25,0.245,0.102,0.388,0.042
7,43,0.351,0.347,0.265,0.469,0.037
8,43,0.345,0.347,0.245,0.469,0.041
9,43,0.408,0.408,0.327,0.49,0.036
1,44,0.076,0.082,0,0.163,0.03
10,44,0.508,0.51,0.408,0.612,0.037
11,44,0.619,0.612,0.531,0.735,0.033
12,44,0.595,0.592,0.469,0.673,0.035
13,44,0.644,0.653,0.531,0.735,0.035
14,44,0.635,0.633,0.551,0.735,0.033
15,44,0.678,0.673,0.592,0.755,0.031
16,44,0.702,0.694,0.612,0.796,0.033
17,44,0.733,0.735,0.653,0.796,0.031
2,44,0.163,0.163,0.082,0.224,0.029
3,44,0.157,0.163,0.082,0.265,0.035
4,44,0.198,0.204,0.102,0.265,0.035
5,44,0.204,0.204,0.061,0.306,0.041
6,44,0.33,0.327,0.245,0.429,0.035
7,44,0.391,0.388,0.286,0.469,0.034
8,44,0.351,0.347,0.265,0.469,0.042
9,44,0.465,0.469,0.327,0.571,0.044
1,45,0.046,0.041,0,0.122,0.024
10,45,0.411,0.408,0.245,0.51,0.046
11,45,0.491,0.49,0.388,0.612,0.038
12,45,0.5,0.49,0.388,0.612,0.041
13,45,0.565,0.571,0.429,0.673,0.042
14,45,0.645,0.653,0.551,0.755,0.034
15,45,0.636,0.633,0.571,0.694,0.026
16,45,0.635,0.633,0.551,0.714,0.031
17,45,0.664,0.673,0.592,0.735,0.031
2,45,0.083,0.082,0.02,0.163,0.029
3,45,0.17,0.163,0.082,0.224,0.026
4,45,0.138,0.143,0.061,0.245,0.034
5,45,0.201,0.204,0.082,0.306,0.038
6,45,0.291,0.286,0.204,0.388,0.037
7,45,0.327,0.327,0.184,0.429,0.044
8,45,0.363,0.367,0.265,0.469,0.036
9,45,0.39,0.388,0.306,0.469,0.038
1,46,0.091,0.102,0.041,0.122,0.018
10,46,0.457,0.449,0.347,0.592,0.042
11,46,0.514,0.51,0.408,0.612,0.033
12,46,0.556,0.551,0.429,0.653,0.035
13,46,0.584,0.592,0.49,0.673,0.036
14,46,0.595,0.592,0.531,0.653,0.024
15,46,0.664,0.673,0.571,0.735,0.028
16,46,0.63,0.633,0.531,0.735,0.033
17,46,0.698,0.694,0.592,0.776,0.035
2,46,0.129,0.122,0.061,0.184,0.027
3,46,0.145,0.143,0.061,0.224,0.033
4,46,0.178,0.184,0.082,0.265,0.028
5,46,0.156,0.163,0.082,0.245,0.038
6,46,0.268,0.265,0.184,0.347,0.034
7,46,0.307,0.306,0.204,0.408,0.041
8,46,0.404,0.408,0.286,0.49,0.04
9,46,0.416,0.408,0.327,0.531,0.042
1,47,0.12,0.122,0.061,0.163,0.019
10,47,0.532,0.531,0.408,0.673,0.042
11,47,0.545,0.551,0.449,0.653,0.038
12,47,0.583,0.592,0.49,0.673,0.039
13,47,0.571,0.571,0.429,0.673,0.038
14,47,0.668,0.673,0.571,0.755,0.037
15,47,0.655,0.653,0.571,0.735,0.029
16,47,0.707,0.714,0.633,0.796,0.032
17,47,0.722,0.714,0.653,0.796,0.028
2,47,0.164,0.163,0.082,0.224,0.029
3,47,0.168,0.163,0.102,0.286,0.033
4,47,0.166,0.163,0.082,0.245,0.029
5,47,0.31,0.306,0.184,0.429,0.038
6,47,0.301,0.306,0.204,0.408,0.035
7,47,0.304,0.306,0.224,0.408,0.034
8,47,0.328,0.327,0.245,0.429,0.034
9,47,0.445,0.449,0.327,0.531,0.037
1,48,0.121,0.122,0.061,0.204,0.03
10,48,0.524,0.531,0.429,0.612,0.037
11,48,0.543,0.551,0.449,0.653,0.039
12,48,0.571,0.571,0.449,0.694,0.041
13,48,0.592,0.592,0.51,0.673,0.034
14,48,0.67,0.673,0.531,0.755,0.032
15,48,0.671,0.673,0.592,0.776,0.034
16,48,0.671,0.673,0.592,0.735,0.03
17,48,0.704,0.714,0.612,0.796,0.03
2,48,0.139,0.143,0.082,0.204,0.023
3,48,0.204,0.204,0.061,0.286,0.032
4,48,0.226,0.224,0.143,0.347,0.032
5,48,0.225,0.224,0.163,0.286,0.03
6,48,0.27,0.265,0.163,0.347,0.038
7,48,0.353,0.347,0.265,0.449,0.037
8,48,0.368,0.367,0.265,0.469,0.042
9,48,0.388,0.388,0.286,0.49,0.041
1,49,0.044,0.041,0,0.102,0.028
10,49,0.491,0.49,0.367,0.612,0.038
11,49,0.469,0.469,0.367,0.551,0.035
12,49,0.54,0.551,0.429,0.633,0.038
13,49,0.585,0.592,0.469,0.694,0.04
14,49,0.621,0.633,0.51,0.694,0.037
15,49,0.62,0.612,0.551,0.694,0.029
16,49,0.645,0.633,0.551,0.735,0.03
17,49,0.68,0.673,0.571,0.776,0.033
2,49,0.113,0.112,0.041,0.204,0.034
3,49,0.159,0.163,0.041,0.245,0.04
4,49,0.214,0.204,0.143,0.286,0.028
5,49,0.273,0.286,0.184,0.347,0.029
6,49,0.318,0.327,0.224,0.408,0.04
7,49,0.32,0.327,0.204,0.408,0.041
8,49,0.321,0.327,0.204,0.449,0.041
9,49,0.407,0.408,0.306,0.51,0.039
1,5,0.102,0.102,0.041,0.163,0.018
10,5,0.446,0.449,0.347,0.571,0.043
11,5,0.475,0.469,0.347,0.592,0.041
12,5,0.553,0.551,0.449,0.633,0.035
13,5,0.567,0.571,0.469,0.653,0.037
14,5,0.582,0.571,0.51,0.653,0.032
15,5,0.613,0.612,0.531,0.694,0.028
16,5,0.649,0.653,0.551,0.714,0.034
17,5,0.659,0.653,0.571,0.735,0.035
2,5,0.137,0.143,0.041,0.204,0.034
3,5,0.172,0.163,0.102,0.224,0.028
4,5,0.184,0.184,0.102,0.286,0.032
5,5,0.234,0.224,0.122,0.306,0.031
6,5,0.295,0.306,0.184,0.388,0.038
7,5,0.287,0.286,0.204,0.367,0.032
8,5,0.425,0.429,0.347,0.531,0.037
9,5,0.409,0.408,0.327,0.51,0.038
1,50,0.072,0.061,0.02,0.143,0.022
10,50,0.425,0.429,0.327,0.531,0.036
11,50,0.521,0.51,0.449,0.612,0.029
12,50,0.569,0.571,0.469,0.653,0.032
13,50,0.559,0.551,0.469,0.653,0.031
14,50,0.578,0.571,0.49,0.694,0.036
15,50,0.681,0.684,0.571,0.735,0.027
16,50,0.643,0.653,0.531,0.735,0.037
17,50,0.664,0.663,0.592,0.755,0.027
2,50,0.128,0.122,0.041,0.224,0.031
3,50,0.139,0.143,0.041,0.224,0.034
4,50,0.214,0.224,0.122,0.286,0.032
5,50,0.208,0.204,0.122,0.286,0.037
6,50,0.336,0.347,0.224,0.408,0.035
7,50,0.277,0.286,0.184,0.388,0.042
8,50,0.392,0.388,0.204,0.49,0.043
9,50,0.41,0.408,0.286,0.531,0.042
1,6,0.05,0.061,0,0.082,0.021
10,6,0.466,0.469,0.367,0.571,0.043
11,6,0.46,0.469,0.347,0.551,0.037
12,6,0.565,0.571,0.49,0.653,0.031
13,6,0.578,0.571,0.469,0.673,0.034
14,6,0.622,0.622,0.531,0.694,0.032
15,6,0.646,0.653,0.531,0.714,0.033
16,6,0.621,0.612,0.551,0.673,0.03
17,6,0.692,0.694,0.612,0.755,0.03
2,6,0.079,0.082,0,0.143,0.023
3,6,0.125,0.122,0.061,0.204,0.027
4,6,0.145,0.143,0.02,0.224,0.037
5,6,0.214,0.204,0.122,0.306,0.038
6,6,0.255,0.265,0.163,0.347,0.037
7,6,0.276,0.286,0.204,0.388,0.033
8,6,0.296,0.286,0.204,0.408,0.04
9,6,0.404,0.408,0.265,0.49,0.043
1,7,0.084,0.082,0.02,0.163,0.023
10,7,0.501,0.49,0.367,0.612,0.043
11,7,0.506,0.51,0.388,0.653,0.042
12,7,0.605,0.612,0.469,0.714,0.038
13,7,0.591,0.592,0.49,0.673,0.037
14,7,0.624,0.633,0.531,0.714,0.032
15,7,0.658,0.653,0.592,0.714,0.026
16,7,0.703,0.714,0.612,0.755,0.026
17,7,0.711,0.714,0.612,0.776,0.029
2,7,0.149,0.143,0.061,0.245,0.032
3,7,0.169,0.163,0.061,0.265,0.034
4,7,0.199,0.204,0.102,0.286,0.035
5,7,0.214,0.204,0.122,0.306,0.033
6,7,0.249,0.245,0.184,0.327,0.032
7,7,0.307,0.306,0.204,0.408,0.038
8,7,0.317,0.327,0.224,0.469,0.039
9,7,0.455,0.449,0.367,0.551,0.037
1,8,0.06,0.061,0.02,0.122,0.02
10,8,0.512,0.51,0.408,0.592,0.034
11,8,0.485,0.49,0.367,0.571,0.036
12,8,0.525,0.531,0.408,0.612,0.035
13,8,0.627,0.633,0.531,0.694,0.034
14,8,0.607,0.612,0.51,0.673,0.031
15,8,0.678,0.673,0.592,0.755,0.03
16,8,0.72,0.714,0.633,0.776,0.025
17,8,0.684,0.694,0.592,0.755,0.03
2,8,0.074,0.082,0,0.143,0.031
3,8,0.15,0.143,0.082,0.224,0.033
4,8,0.168,0.163,0.061,0.306,0.044
5,8,0.266,0.265,0.184,0.367,0.035
6,8,0.272,0.265,0.163,0.367,0.04
7,8,0.343,0.347,0.245,0.449,0.042
8,8,0.462,0.469,0.347,0.551,0.035
9,8,0.468,0.469,0.367,0.551,0.039
1,9,0.15,0.143,0.041,0.204,0.03
10,9,0.447,0.449,0.327,0.551,0.043
11,9,0.466,0.469,0.327,0.592,0.042
12,9,0.569,0.571,0.408,0.653,0.038
13,9,0.579,0.592,0.449,0.694,0.043
14,9,0.617,0.612,0.551,0.694,0.03
15,9,0.618,0.612,0.531,0.714,0.029
16,9,0.638,0.633,0.571,0.735,0.03
17,9,0.656,0.653,0.551,0.776,0.034
2,9,0.145,0.143,0.02,0.224,0.034
3,9,0.182,0.184,0.122,0.265,0.032
4,9,0.202,0.204,0.102,0.286,0.033
5,9,0.214,0.204,0.122,0.306,0.035
6,9,0.23,0.224,0.143,0.327,0.037
7,9,0.264,0.265,0.163,0.367,0.037
8,9,0.321,0.327,0.204,0.449,0.038
9,9,0.364,0.367,0.224,0.469,0.041
