t,family,Delta,value
5.858585858585858,Sino-tibetan,R,0.5638673979252657
6.0606060606060606,Sino-tibetan,T,1
6.0606060606060606,Sino-tibetan,R,0.5509032460115278
6.262626262626262,Sino-tibetan,T,1
6.262626262626262,Sino-tibetan,R,0.5405706281872035
6.4646464646464645,Sino-tibetan,T,1
6.4646464646464645,Sino-tibetan,R,0.5323353813454558
6.666666666666667,Sino-tibetan,T,1
6.666666666666667,Sino-tibetan,R,0.5257717697130911
6.8686868686868685,Sino-tibetan,T,1
6.8686868686868685,Sino-tibetan,R,0.5205404756804559
7.070707070707071,Sino-tibetan,T,1
7.070707070707071,Sino-tibetan,R,0.5163710581724267
7.2727272727272725,Sino-tibetan,T,1
7.2727272727272725,Sino-tibetan,R,0.5130479717146955
7.474747474747475,Sino-tibetan,T,1
7.474747474747475,Sino-tibetan,R,0.5103994234260458
7.6767676767676765,Sino-tibetan,T,1
7.6767676767676765,Sino-tibetan,R,0.508288491878963
7.878787878787879,Sino-tibetan,T,1
7.878787878787879,Sino-tibetan,R,0.5066060487022361
8.080808080808081,Sino-tibetan,T,1
8.080808080808081,Sino-tibetan,R,0.5052651169951772
8.282828282828282,Sino-tibetan,T,1
8.282828282828282,Sino-tibetan,R,0.5041963749016141
8.484848484848484,Sino-tibetan,T,1
8.484848484848484,Sino-tibetan,R,0.5033445718928993
8.686868686868687,Sino-tibetan,T,1
8.686868686868687,Sino-tibetan,R,0.5026656724932916
8.88888888888889,Sino-tibetan,T,1
8.88888888888889,Sino-tibetan,R,0.5021245797874992
9.09090909090909,Sino-tibetan,T,1
9.09090909090909,Sino-tibetan,R,0.5016933210230475
9.292929292929292,Sino-tibetan,T,1
9.292929292929292,Sino-tibetan,R,0.5013496015089505
9.494949494949495,Sino-tibetan,T,1
9.494949494949495,Sino-tibetan,R,0.501075652051897
9.696969696969697,Sino-tibetan,T,1
9.696969696969697,Sino-tibetan,R,0.500857310346111
9.8989898989899,Sino-tibetan,T,1
9.8989898989899,Sino-tibetan,R,0.5006832888276955
10.1010101010101,Sino-tibetan,T,1
10.1010101010101,Sino-tibetan,R,0.5005445911438855
10.303030303030303,Sino-tibetan,T,1
10.303030303030303,Sino-tibetan,R,0.5004340470705467
10.505050505050505,Sino-tibetan,T,1
10.505050505050505,Sino-tibetan,R,0.5003459418346505
10.707070707070708,Sino-tibetan,T,1
10.707070707070708,Sino-tibetan,R,0.50027572067889
10.909090909090908,Sino-tibetan,T,0.8317666015040293
10.909090909090908,Sino-tibetan,R,0.5002197533953775
11.11111111111111,Sino-tibetan,T,0.6629300913445016
11.11111111111111,Sino-tibetan,R,0.5001751466555732
11.313131313131313,Sino-tibetan,T,0.528364934604674
11.313131313131313,Sino-tibetan,R,0.5001395944345058
11.515151515151516,Sino-tibetan,T,0.4211145455075253
11.515151515151516,Sino-tibetan,R,0.5001112587966995
11.717171717171716,Sino-tibetan,T,0.3356344239056948
11.717171717171716,Sino-tibetan,R,0.5000886748808205
11.919191919191919,Sino-tibetan,T,0.2675055224576521
11.919191919191919,Sino-tibetan,R,0.5000706751710589
12.121212121212121,Sino-tibetan,T,0.2132057960939308
12.121212121212121,Sino-tibetan,R,0.5000563291403154
12.323232323232324,Sino-tibetan,T,0.1699281236156268
12.323232323232324,Sino-tibetan,R,0.5000448951449447
12.525252525252524,Sino-tibetan,T,0.13543518855747388
12.525252525252524,Sino-tibetan,R,0.5000357820841631
12.727272727272727,Sino-tibetan,T,0.10794381712287453
12.727272727272727,Sino-tibetan,R,0.5000285188420404
12.929292929292929,Sino-tibetan,T,0.08603279383416639
