family,n_trees,N,k,pi0,pi1,q,clock_rate,t_R,ub_DS,ub_DT,inf_t_DT,t,mu,n_cogsets
ST,100001,50,3784,0.9430549662360987,0.05694503376389233,9.310588725681098,0.01827502124064219,8.450482658082908,2.510437479922857e-150,5.665997187166338e-55,6.125,6.8686868686868685,NA,NA
ST,100001,50,3784,0.9430549662360987,0.05694503376389233,9.310588725681098,0.01827502124064219,8.450482658082908,1.687531619700432e-157,3.808718395477027e-62,6.125,7.070707070707071,NA,NA
ST,100001,50,3784,0.9430549662360987,0.05694503376389233,9.310588725681098,0.01827502124064219,8.450482658082908,1.1343692046760047e-164,2.5602440906436075e-69,6.125,7.2727272727272725,NA,NA
ST,100001,50,3784,0.9430549662360987,0.05694503376389233,9.310588725681098,0.01827502124064219,8.450482658082908,7.625300038796477e-172,1.7210119318506312e-76,6.125,7.474747474747475,NA,NA
ST,100001,50,3784,0.9430549662360987,0.05694503376389233,9.310588725681098,0.01827502124064219,8.450482658082908,5.125773905179612e-179,1.1568748778277313e-83,6.125,7.6767676767676765,NA,NA
ST,100001,50,3784,0.9430549662360987,0.05694503376389233,9.310588725681098,0.01827502124064219,8.450482658082908,3.4455769600331815e-186,7.776584567369355e-91,6.125,7.878787878787879,NA,NA
ST,100001,50,3784,0.9430549662360987,0.05694503376389233,9.310588725681098,0.01827502124064219,8.450482658082908,2.316138169011864e-193,5.227468302103992e-98,6.125,8.080808080808081,NA,NA
ST,100001,50,3784,0.9430549662360987,0.05694503376389233,9.310588725681098,0.01827502124064219,8.450482658082908,1.556922419722381e-200,3.5139365633811945e-105,6.125,8.282828282828282,NA,NA
ST,100001,50,3784,0.9430549662360987,0.05694503376389233,9.310588725681098,0.01827502124064219,8.450482658082908,1.0465728916629945e-207,2.362089917694128e-112,6.125,8.484848484848484,NA,NA
ST,100001,50,3784,0.9430549662360987,0.05694503376389233,9.310588725681098,0.01827502124064219,8.450482658082908,7.035127786002018e-215,1.587811469739099e-119,6.125,8.686868686868687,NA,NA
ST,100001,50,3784,0.9430549662360987,0.05694503376389233,9.310588725681098,0.01827502124064219,8.450482658082908,4.7290564622533394e-222,1.0673367023624246e-126,6.125,8.88888888888889,NA,NA
ST,100001,50,3784,0.9430549662360987,0.05694503376389233,9.310588725681098,0.01827502124064219,8.450482658082908,3.178901038255596e-229,7.174703407307848e-134,6.125,9.09090909090909,NA,NA
ST,100001,50,3784,0.9430549662360987,0.05694503376389233,9.310588725681098,0.01827502124064219,8.450482658082908,2.1368769630221548e-236,4.822880059206442e-141,6.125,9.292929292929292,NA,NA
ST,100001,50,3784,0.9430549662360987,0.05694503376389233,9.310588725681098,0.01827502124064219,8.450482658082908,1.4364219269943067e-243,3.241969841122719e-148,6.125,9.494949494949495,NA,NA
ST,100001,50,3784,0.9430549662360987,0.05694503376389233,9.310588725681098,0.01827502124064219,8.450482658082908,9.655717142608417e-251,2.1792722028584e-155,6.125,9.696969696969697,NA,NA
ST,100001,50,3784,0.9430549662360987,0.05694503376389233,9.310588725681098,0.01827502124064219,8.450482658082908,6.490632855567803e-258,1.4649202697415e-162,6.125,9.8989898989899,NA,NA
ST,100001,50,3784,0.9430549662360987,0.05694503376389233,9.310588725681098,0.01827502124064219,8.450482658082908,4.363043598271812e-265,9.847284767295832e-170,6.125,10.1010101010101,NA,NA
ST,100001,50,3784,0.9430549662360987,0.05694503376389233,9.310588725681098,0.01827502124064219,8.450482658082908,2.932864924579226e-272,6.6194057991505e-177,6.125,10.303030303030303,NA,NA
ST,100001,50,3784,0.9430549662360987,0.05694503376389233,9.310588725681098,0.01827502124064219,8.450482658082908,1.9714899638489042e-279,4.449605568364177e-184,6.125,10.505050505050505,NA,NA
ST,100001,50,3784,0.9430549662360987,0.05694503376389233,9.310588725681098,0.01827502124064219,8.450482658082908,1.3252477620032712e-286,2.9910524169038346e-191,6.125,10.707070707070708,NA,NA
ST,100001,50,3784,0.9430549662360987,0.05694503376389233,9.310588725681098,0.01827502124064219,8.450482658082908,8.908397521163745e-294,2.0106039565114298e-198,6.125,10.909090909090908,NA,NA
ST,100001,50,3784,0.9430549662360987,0.05694503376389233,9.310588725681098,0.01827502124064219,8.450482658082908,5.9882799783125e-301,1.3515404300817233e-205,6.125,11.11111111111111,NA,NA
ST,100001,50,3784,0.9430549662360987,0.05694503376389233,9.310588725681098,0.01827502124064219,8.450482658082908,4.0253588833967543e-308,9.08513846413835e-213,6.125,11.313131313131313,NA,NA
ST,100001,50,3784,0.9430549662360987,0.05694503376389233,9.310588725681098,0.01827502124064219,8.450482658082908,2.70587113e-315,6.1070863346351165e-220,6.125,11.515151515151516,NA,NA
ST,100001,50,3784,0.9430549662360987,0.05694503376389233,9.310588725681098,0.01827502124064219,8.450482658082908,1.73e-322,4.1052212518176782e-227,6.125,11.717171717171716,NA,NA
ST,100001,50,3784,0.9430549662360987,0.05694503376389233,9.310588725681098,0.01827502124064219,8.450482658082908,0,2.7595551467468607e-234,6.125,11.919191919191919,NA,NA
ST,100001,50,3784,0.9430549662360987,0.05694503376389233,9.310588725681098,0.01827502124064219,8.450482658082908,0,1.854990057982359e-241,6.125,12.121212121212121,NA,NA
ST,100001,50,3784,0.9430549662360987,0.05694503376389233,9.310588725681098,0.01827502124064219,8.450482658082908,0,1.2469358038626904e-248,6.125,12.323232323232324,NA,NA
ST,100001,50,3784,0.9430549662360987,0.05694503376389233,9.310588725681098,0.01827502124064219,8.450482658082908,0,8.38197968913325e-256,6.125,12.525252525252524,NA,NA
ST,100001,50,3784,0.9430549662360987,0.05694503376389233,9.310588725681098,0.01827502124064219,8.450482658082908,0,5.634418651818496e-263,6.125,12.727272727272727,NA,NA
ST,100001,50,3784,0.9430549662360987,0.05694503376389233,9.310588725681098,0.01827502124064219,8.450482658082908,0,3.787491108467735e-270,6.125,12.929292929292929,NA,NA
ST,100001,50,3784,0.9430549662360987,0.05694503376389233,9.310588725681098,0.01827502124064219,8.450482658082908,0,2.545974976867791e-277,6.125,13.131313131313131,NA,NA
ST,100001,50,3784,0.9430549662360987,0.05694503376389233,9.310588725681098,0.01827502124064219,8.450482658082908,0,1.7114201452100104e-284,6.125,13.333333333333334,NA,NA
ST,100001,50,3784,0.9430549662360987,0.05694503376389233,9.310588725681098,0.01827502124064219,8.450482658082908,0,1.1504272194515821e-291,6.125,13.535353535353535,NA,NA
ST,100001,50,3784,0.9430549662360987,0.05694503376389233,9.310588725681098,0.01827502124064219,8.450482658082908,0,7.733243008499779e-299,6.125,13.737373737373737,NA,NA
ST,100001,50,3784,0.9430549662360987,0.05694503376389233,9.310588725681098,0.01827502124064219,8.450482658082908,0,5.1983338378414613e-306,6.125,13.93939393939394,NA,NA
ST,100001,50,3784,0.9430549662360987,0.05694503376389233,9.310588725681098,0.01827502124064219,8.450482658082908,0,3.4943521715e-313,6.125,14.141414141414142,NA,NA
ST,100001,50,3784,0.9430549662360987,0.05694503376389233,9.310588725681098,0.01827502124064219,8.450482658082908,0,1.8695e-320,6.125,14.343434343434343,NA,NA
ST,100001,50,3784,0.9430549662360987,0.05694503376389233,9.310588725681098,0.01827502124064219,8.450482658082908,0,0,6.125,14.545454545454545,NA,NA
ST,100001,50,3784,0.9430549662360987,0.05694503376389233,9.310588725681098,0.01827502124064219,8.450482658082908,0,0,6.125,14.747474747474747,NA,NA
ST,100001,50,3784,0.9430549662360987,0.05694503376389233,9.310588725681098,0.01827502124064219,8.450482658082908,0,0,6.125,14.94949494949495,NA,NA
ST,100001,50,3784,0.9430549662360987,0.05694503376389233,9.310588725681098,0.01827502124064219,8.450482658082908,0,0,6.125,15.15151515151515,NA,NA
ST,100001,50,3784,0.9430549662360987,0.05694503376389233,9.310588725681098,0.01827502124064219,8.450482658082908,0,0,6.125,15.353535353535353,NA,NA
ST,100001,50,3784,0.9430549662360987,0.05694503376389233,9.310588725681098,0.01827502124064219,8.450482658082908,0,0,6.125,15.555555555555555,NA,NA
ST,100001,50,3784,0.9430549662360987,0.05694503376389233,9.310588725681098,0.01827502124064219,8.450482658082908,0,0,6.125,15.757575757575758,NA,NA
ST,100001,50,3784,0.9430549662360987,0.05694503376389233,9.310588725681098,0.01827502124064219,8.450482658082908,0,0,6.125,15.959595959595958,NA,NA
ST,100001,50,3784,0.9430549662360987,0.05694503376389233,9.310588725681098,0.01827502124064219,8.450482658082908,0,0,6.125,16.161616161616163,NA,NA
ST,100001,50,3784,0.9430549662360987,0.05694503376389233,9.310588725681098,0.01827502124064219,8.450482658082908,0,0,6.125,16.363636363636363,NA,NA
ST,100001,50,3784,0.9430549662360987,0.05694503376389233,9.310588725681098,0.01827502124064219,8.450482658082908,0,0,6.125,16.565656565656564,NA,NA
ST,100001,50,3784,0.9430549662360987,0.05694503376389233,9.310588725681098,0.01827502124064219,8.450482658082908,0,0,6.125,16.767676767676768,NA,NA
ST,100001,50,3784,0.9430549662360987,0.05694503376389233,9.310588725681098,0.01827502124064219,8.450482658082908,0,0,6.125,16.96969696969697,NA,NA
ST,100001,50,3784,0.9430549662360987,0.05694503376389233,9.310588725681098,0.01827502124064219,8.450482658082908,0,0,6.125,17.171717171717173,NA,NA
