"tree_age","simulation","min_ess","all_ess_above_thresh"
13,29,7,FALSE
14,29,8.6,FALSE
15,29,5,FALSE
16,29,6.7,FALSE
17,29,4.4,FALSE
2,29,189.6,FALSE
3,29,71.8,FALSE
4,29,52.2,FALSE
5,29,44.7,FALSE
6,29,16.6,FALSE
7,29,1.8,FALSE
8,29,24.5,FALSE
9,29,6.9,FALSE
1,3,347.6,TRUE
10,3,54.8,FALSE
11,3,61.9,FALSE
12,3,95.7,FALSE
13,3,10.4,FALSE
14,3,2.4,FALSE
15,3,60.8,FALSE
16,3,2.7,FALSE
17,3,29,FALSE
2,3,156.5,FALSE
3,3,123.2,FALSE
4,3,89.4,FALSE
5,3,62.1,FALSE
6,3,58.7,FALSE
7,3,82.7,FALSE
8,3,38.8,FALSE
9,3,75,FALSE
1,30,180.3,FALSE
10,30,6.2,FALSE
11,30,9.7,FALSE
12,30,2.7,FALSE
13,30,5.4,FALSE
14,30,7.4,FALSE
15,30,4.2,FALSE
16,30,8.4,FALSE
17,30,3.9,FALSE
2,30,97.6,FALSE
3,30,97.3,FALSE
4,30,61.1,FALSE
5,30,47,FALSE
6,30,28.3,FALSE
7,30,14.3,FALSE
8,30,39.1,FALSE
9,30,14.3,FALSE
1,31,145.7,FALSE
10,31,2.9,FALSE
11,31,12.2,FALSE
12,31,5.5,FALSE
13,31,8.3,FALSE
14,31,5.4,FALSE
15,31,12,FALSE
16,31,9.7,FALSE
17,31,3.7,FALSE
2,31,190.2,FALSE
3,31,76.9,FALSE
4,31,52.3,FALSE
5,31,46.1,FALSE
6,31,28.5,FALSE
7,31,30.2,FALSE
8,31,2.4,FALSE
9,31,6.7,FALSE
1,32,209.8,TRUE
10,32,3.6,FALSE
11,32,4.3,FALSE
12,32,11.5,FALSE
13,32,12.7,FALSE
14,32,13.4,FALSE
15,32,16.7,FALSE
16,32,16.1,FALSE
17,32,25.2,FALSE
2,32,202,TRUE
3,32,115.1,FALSE
4,32,76.6,FALSE
5,32,34.9,FALSE
6,32,59.8,FALSE
7,32,42.2,FALSE
8,32,58,FALSE
9,32,1.6,FALSE
1,33,141.6,FALSE
10,33,12.4,FALSE
11,33,17.5,FALSE
12,33,3.2,FALSE
13,33,6.5,FALSE
14,33,6.7,FALSE
15,33,10.1,FALSE
16,33,8.9,FALSE
17,33,6.9,FALSE
2,33,106.8,FALSE
3,33,62.7,FALSE
4,33,53.4,FALSE
5,33,31.8,FALSE
6,33,40.3,FALSE
7,33,43,FALSE
8,33,25.4,FALSE
9,33,20.5,FALSE
1,34,329.1,TRUE
10,34,11.5,FALSE
11,34,7.1,FALSE
12,34,12.7,FALSE
13,34,6.9,FALSE
14,34,11.1,FALSE
15,34,15.9,FALSE
16,34,7.8,FALSE
17,34,11.8,FALSE
2,34,210.3,TRUE
3,34,107,FALSE
4,34,76.1,FALSE
5,34,70.4,FALSE
6,34,75.5,FALSE
7,34,54.1,FALSE
8,34,20.9,FALSE
9,34,28.3,FALSE
1,35,358.3,TRUE
10,35,6.3,FALSE
11,35,4.3,FALSE
12,35,4.4,FALSE
13,35,4.4,FALSE
14,35,10.4,FALSE
15,35,6.5,FALSE
16,35,4.4,FALSE
17,35,5.7,FALSE
2,35,81.5,FALSE
3,35,44.4,FALSE
4,35,42.2,FALSE
5,35,63.8,FALSE
6,35,47.2,FALSE
7,35,10.8,FALSE
8,35,7.9,FALSE
9,35,13.5,FALSE
1,36,159.8,FALSE
10,36,12.9,FALSE
11,36,7.6,FALSE
12,36,2.3,FALSE
13,36,NA,NA
14,36,NA,NA
15,36,NA,NA
16,36,1.7,FALSE
17,36,NA,NA
2,36,130.6,FALSE
3,36,56.5,FALSE
4,36,49.7,FALSE
5,36,32.6,FALSE
6,36,31.3,FALSE
7,36,20.8,FALSE
8,36,15.8,FALSE
9,36,15.5,FALSE
1,37,355.4,TRUE
10,37,36.1,FALSE
11,37,17.8,FALSE
12,37,13.8,FALSE
13,37,14.7,FALSE
14,37,2.8,FALSE
15,37,11.7,FALSE
16,37,8.4,FALSE
17,37,4.9,FALSE
2,37,144,FALSE
3,37,59.9,FALSE
4,37,44.6,FALSE
5,37,52.7,FALSE
6,37,36.6,FALSE
7,37,28.2,FALSE
8,37,40.4,FALSE
9,37,14.5,FALSE
1,38,328.7,TRUE
10,38,11.4,FALSE
11,38,4.1,FALSE
12,38,7.6,FALSE
13,38,11.3,FALSE
14,38,8.6,FALSE
15,38,NA,NA
16,38,4.1,FALSE
17,38,3.3,FALSE
2,38,175.8,FALSE
3,38,173.4,FALSE
4,38,72.3,FALSE
5,38,65.2,FALSE
6,38,41.7,FALSE
7,38,43.5,FALSE
8,38,15.4,FALSE
9,38,10.8,FALSE
1,39,517.6,TRUE
10,39,67.7,FALSE
11,39,38.7,FALSE
12,39,50,FALSE
13,39,65,FALSE
14,39,32.3,FALSE
15,39,22.6,FALSE
16,39,27.8,FALSE
17,39,59.9,FALSE
2,39,256.9,TRUE
3,39,148.1,FALSE
4,39,133.1,FALSE
5,39,91.7,FALSE
6,39,59.4,FALSE
7,39,54.4,FALSE
8,39,64.2,FALSE
9,39,59.8,FALSE
1,4,346.2,TRUE
10,4,11,FALSE
11,4,11.6,FALSE
12,4,4.6,FALSE
13,4,6.4,FALSE
14,4,5,FALSE
15,4,7,FALSE
16,4,4.8,FALSE
17,4,9.2,FALSE
2,4,180.9,FALSE
3,4,124,FALSE
4,4,75.4,FALSE
5,4,52.7,FALSE
6,4,37.2,FALSE
7,4,13.2,FALSE
8,4,11.5,FALSE
9,4,12.5,FALSE
1,40,346.2,TRUE
10,40,5.5,FALSE
11,40,10.2,FALSE
12,40,13.5,FALSE
13,40,13.6,FALSE
14,40,8.8,FALSE
15,40,1.3,FALSE
16,40,7.2,FALSE
17,40,7.2,FALSE
2,40,129.1,FALSE
