family,n_trees,pi0,pi1,mu,q,clock_rate,t_R,concept,n_cogsets,N,k
TEA,2001,0.9714996871509014,0.028500312849099214,1.1767748995925222,1.0000000000000007,0.0029304257034523697,14.67253575279156,do,17,98,3421
TEA,2001,0.9581339060133702,0.041866093986626135,0.2809663029507866,0.9999999999999963,0.0029304257034523697,14.67253575279156,dog,8,98,3421
TEA,2001,0.9686947396589838,0.03130526034101534,0.4237740198579438,0.9999999999999991,0.0029304257034523697,14.67253575279156,drink,9,98,3421
TEA,2001,0.9626401027397586,0.037359897260239416,1.2182570917504898,0.999999999999998,0.0029304257034523697,14.67253575279156,dry,12,98,3421
TEA,2001,0.9834502859224707,0.016549714077534042,1.648499532819483,1.0000000000000049,0.0029304257034523697,14.67253575279156,dust,23,98,3421
TEA,2001,0.8788544122007986,0.12114558779919535,0.40631650188623714,0.999999999999994,0.0029304257034523697,14.67253575279156,ear,6,98,3421
TEA,2001,0.9820853518009898,0.017914648199010813,1.132186606860624,1.0000000000000007,0.0029304257034523697,14.67253575279156,eat,11,98,3421
TEA,2001,0.9783407405712653,0.021659259428735908,1.4167018310029746,1.000000000000001,0.0029304257034523697,14.67253575279156,edge,25,98,3421
TEA,2001,0.9930649171402315,0.00693508285976736,0.2967306312000145,0.9999999999999989,0.0029304257034523697,14.67253575279156,egg,18,98,3421
TEA,2001,0.8821070497363742,0.11789295026362726,0.3753474666282519,1.0000000000000016,0.0029304257034523697,14.67253575279156,eye,6,98,3421
TEA,2001,0.9659598419137279,0.03404015808627567,0.6504645787554074,1.0000000000000036,0.0029304257034523697,14.67253575279156,fall,15,98,3421
TEA,2001,0.9713757921826618,0.028624207817340614,0.6197321532640726,1.0000000000000024,0.0029304257034523697,14.67253575279156,far,11,98,3421
TEA,2001,0.9804807079107165,0.01951929208928553,0.3698683665253437,1.000000000000002,0.0029304257034523697,14.67253575279156,fat,13,98,3421
TEA,2001,0.9501343477644734,0.049865652235530425,2.119886556575036,1.0000000000000038,0.0029304257034523697,14.67253575279156,father,14,98,3421
TEA,2001,0.9853087374482631,0.014691262551733125,0.27327671736681397,0.9999999999999962,0.0029304257034523697,14.67253575279156,fear,13,98,3421
TEA,2001,0.9779927130024808,0.022007286997516924,1.3884747291633968,0.9999999999999978,0.0029304257034523697,14.67253575279156,feather,18,98,3421
TEA,2001,0.9316407524310271,0.06835924756897208,1.7648287015666964,0.9999999999999991,0.0029304257034523697,14.67253575279156,female,9,98,3421
TEA,2001,0.9847176113371163,0.0152823886628829,1.982227145512911,0.9999999999999992,0.0029304257034523697,14.67253575279156,fight,33,98,3421
TEA,2001,0.9481410179646803,0.05185898203531922,0.6491701076172433,0.9999999999999996,0.0029304257034523697,14.67253575279156,find,8,98,3421
TEA,2001,0.9021250438215268,0.09787495617846992,0.28191297127816034,0.9999999999999967,0.0029304257034523697,14.67253575279156,fingernail,7,98,3421
TEA,2001,0.9567373825641541,0.043262617435847646,0.44171866762209355,1.0000000000000018,0.0029304257034523697,14.67253575279156,fire,8,98,3421
TEA,2001,0.9875705621224025,0.012429437877599831,0.5656222893224693,1.0000000000000022,0.0029304257034523697,14.67253575279156,firewood,16,98,3421
TEA,2001,0.9746986352005544,0.025301364799448455,0.5039478292935846,1.0000000000000029,0.0029304257034523697,14.67253575279156,fish,15,98,3421
TEA,2001,0.8932506839804446,0.10674931601955548,0.15579875283343178,1,0.0029304257034523697,14.67253575279156,five,6,98,3421
TEA,2001,0.9824244905994441,0.017575509400556494,0.4992759231774957,1.0000000000000007,0.0029304257034523697,14.67253575279156,flow,14,98,3421
TEA,2001,0.968553927439336,0.03144607256066388,0.7987761507469188,0.9999999999999999,0.0029304257034523697,14.67253575279156,flower,10,98,3421
TEA,2001,0.9792168839551706,0.020783116044832975,1.027208576955585,1.0000000000000036,0.0029304257034523697,14.67253575279156,fly,NA,98,3421
TEA,2001,0.9255818583546648,0.0744181416453416,0.7347757607280911,1.0000000000000064,0.0029304257034523697,14.67253575279156,fly_verb,9,98,3421
TEA,2001,0.9575605376030933,0.04243946239690301,0.8992109432608937,0.9999999999999963,0.0029304257034523697,14.67253575279156,foam,13,98,3421
TEA,2001,0.9649482309853323,0.03505176901466706,0.7664524359927367,0.9999999999999994,0.0029304257034523697,14.67253575279156,fog,10,98,3421
TEA,2001,0.9805116996736648,0.019488300326335146,0.7061380982147195,1,0.0029304257034523697,14.67253575279156,forehead,17,98,3421
TEA,2001,0.6906617600273539,0.30933823997264376,0.2748433389761834,0.9999999999999977,0.0029304257034523697,14.67253575279156,four,3,98,3421
TEA,2001,0.9877094430298392,0.012290556970161251,0.5367420589396679,1.0000000000000004,0.0029304257034523697,14.67253575279156,freeze,14,98,3421
TEA,2001,0.9808398671907261,0.019160132809271008,0.7727673103959112,0.9999999999999971,0.0029304257034523697,14.67253575279156,fruit,18,98,3421
