"node","tree_age","tree_simulation_number","prob_mean","prob_inf","prob_sup"
58,1,38,1,0.977,1
58,12,49,0.025,0.009,0.061
58,17,18,0.01,0.002,0.039
58,11,20,0.025,0.009,0.061
58,10,7,0.74,0.672,0.798
58,13,26,0.04,0.019,0.08
58,12,43,0.015,0.004,0.047
58,6,14,0.52,0.449,0.591
58,7,14,0.92,0.871,0.952
58,12,8,0.05,0.026,0.093
58,12,39,0.015,0.004,0.047
58,13,3,0.04,0.019,0.08
58,8,24,0.81,0.747,0.861
58,6,23,0.295,0.234,0.364
52,4,13,0.965,0.926,0.985
58,6,50,0.565,0.493,0.634
52,5,19,1,0.977,1
58,16,36,0,0,0.023
58,17,4,0,0,0.023
58,9,41,0.505,0.434,0.576
58,12,30,0,0,0.023
58,12,21,0.055,0.029,0.099
58,17,9,0.005,0,0.032
58,14,26,0,0,0.023
58,7,50,0.655,0.584,0.72
58,9,24,0.58,0.508,0.649
58,2,18,1,0.977,1
58,8,33,0.315,0.252,0.385
58,14,35,0.005,0,0.032
58,13,49,0.015,0.004,0.047
58,10,11,0.115,0.076,0.169
58,17,5,0.005,0,0.032
52,6,19,0.915,0.865,0.948
58,13,39,0.02,0.006,0.054
58,8,14,0.995,0.968,1
58,15,17,0.005,0,0.032
58,2,22,0.995,0.968,1
58,1,16,0.825,0.764,0.874
58,1,25,1,0.977,1
58,13,21,0.04,0.019,0.08
58,11,7,0.245,0.188,0.312
58,3,18,1,0.977,1
58,13,8,0,0,0.023
58,2,9,0.565,0.493,0.634
52,7,19,0.995,0.968,1
58,13,43,0.175,0.126,0.236
58,15,35,0,0,0.023
58,8,50,0.055,0.029,0.099
58,14,49,0.03,0.012,0.067
58,5,27,0.63,0.559,0.696
58,12,20,0.115,0.076,0.169
58,2,4,1,0.977,1
58,1,42,0.51,0.439,0.581
58,10,16,0.115,0.076,0.169
58,7,23,0.53,0.458,0.6
58,3,22,0.86,0.802,0.903
58,2,5,1,0.977,1
58,9,14,0.915,0.865,0.948
58,14,21,0.1,0.064,0.152
58,10,25,0.62,0.549,0.687
58,14,8,0.025,0.009,0.061
58,16,17,0.03,0.012,0.067
58,16,35,0.01,0.002,0.039
58,15,26,0.02,0.006,0.054
58,12,7,0.07,0.04,0.117
58,4,18,1,0.977,1
58,3,9,0.78,0.715,0.834
58,13,20,0.005,0,0.032
52,8,19,0.795,0.731,0.847
