age,simulation,node,y,cs_prob,first_split
8,13,52,TRUE,0.795,52
9,13,52,TRUE,0.755,52
1,14,52,TRUE,1,52
10,14,52,TRUE,0.76,52
11,14,68,TRUE,0.63,68
12,14,64,TRUE,0.555,64
13,14,75,FALSE,0.51,75
14,14,71,TRUE,0.635,71
15,14,52,TRUE,0.69,52
16,14,52,FALSE,0.525,52
17,14,68,TRUE,0.98,68
2,14,52,TRUE,1,52
3,14,52,TRUE,0.88,52
4,14,52,TRUE,0.97,52
5,14,52,TRUE,0.98,52
6,14,52,TRUE,0.52,52
7,14,52,TRUE,0.92,52
8,14,52,TRUE,0.995,52
9,14,52,TRUE,0.915,52
1,15,52,TRUE,1,52
10,15,52,FALSE,0.635,52
11,15,52,FALSE,0.505,52
12,15,72,TRUE,0.695,72
13,15,67,FALSE,0.545,67
14,15,73,TRUE,0.525,73
15,15,68,FALSE,0.52,68
16,15,67,TRUE,0.915,67
17,15,67,TRUE,0.59,67
2,15,52,TRUE,1,52
3,15,52,TRUE,1,52
4,15,52,TRUE,1,52
5,15,52,TRUE,1,52
6,15,52,TRUE,0.98,52
7,15,52,TRUE,0.985,52
8,15,52,TRUE,0.765,52
9,15,72,TRUE,0.525,72
1,16,52,TRUE,0.825,52
10,16,52,TRUE,0.535,52
11,16,66,TRUE,0.51,66
12,16,52,TRUE,0.685,52
13,16,69,FALSE,0.705,69
15,16,52,TRUE,0.555,52
16,16,56,TRUE,0.76,56
17,16,58,TRUE,0.915,58
2,16,52,TRUE,0.94,52
3,16,52,TRUE,0.82,52
4,16,85,FALSE,0.755,85
5,16,52,TRUE,0.885,52
6,16,52,TRUE,0.875,52
7,16,52,TRUE,0.875,52
8,16,52,TRUE,0.535,52
9,16,77,FALSE,0.55,77
1,17,52,TRUE,1,52
10,17,52,TRUE,0.53,52
11,17,52,TRUE,0.785,52
12,17,72,TRUE,0.835,72
13,17,52,FALSE,0.71,52
14,17,71,TRUE,0.755,71
15,17,71,FALSE,0.52,71
16,17,67,FALSE,0.505,67
17,17,66,TRUE,0.765,66
2,17,52,TRUE,0.995,52
3,17,52,TRUE,1,52
4,17,52,TRUE,1,52
5,17,52,TRUE,1,52
6,17,52,TRUE,0.645,52
7,17,52,TRUE,0.91,52
8,17,52,TRUE,0.93,52
9,17,52,TRUE,0.775,52
1,18,52,TRUE,1,52
10,18,52,TRUE,0.86,52
11,18,52,TRUE,0.53,52
12,18,52,TRUE,0.62,52
13,18,67,FALSE,0.7,67
14,18,69,TRUE,0.57,69
15,18,52,TRUE,0.545,52
16,18,52,TRUE,0.905,52
17,18,66,FALSE,0.525,66
2,18,52,TRUE,1,52
3,18,52,TRUE,1,52
4,18,52,TRUE,1,52
5,18,52,TRUE,1,52
6,18,52,TRUE,0.995,52
7,18,52,TRUE,0.97,52
8,18,70,TRUE,0.605,70
9,18,52,FALSE,0.51,52
1,19,52,TRUE,1,52
10,19,60,FALSE,0.815,60
11,19,52,TRUE,0.615,52
12,19,52,TRUE,0.53,52
13,19,52,FALSE,0.53,52
14,19,69,TRUE,0.98,69
15,19,52,FALSE,0.535,52
16,19,52,TRUE,0.54,52
2,19,52,TRUE,1,52
3,19,52,TRUE,1,52
4,19,52,TRUE,1,52
5,19,52,TRUE,1,52
6,19,52,TRUE,0.915,52
7,19,52,TRUE,0.995,52
8,19,52,TRUE,0.795,52
9,19,52,TRUE,0.83,52
1,2,52,TRUE,1,52
10,2,52,FALSE,0.61,52
11,2,65,TRUE,0.585,65
12,2,74,TRUE,0.62,74
13,2,62,FALSE,0.505,62
14,2,52,TRUE,0.665,52
15,2,69,TRUE,0.535,69
16,2,52,TRUE,0.585,52
17,2,66,FALSE,0.52,66
2,2,52,TRUE,1,52
3,2,52,TRUE,1,52
4,2,52,TRUE,0.58,52
5,2,52,TRUE,0.985,52
6,2,52,TRUE,0.815,52
7,2,52,TRUE,0.64,52
8,2,52,TRUE,0.955,52
9,2,52,TRUE,0.97,52
1,20,52,TRUE,1,52
10,20,52,TRUE,0.505,52
11,20,74,TRUE,0.635,74
12,20,76,TRUE,0.53,76
13,20,69,TRUE,0.545,69
14,20,52,TRUE,0.67,52
15,20,69,TRUE,0.76,69
16,20,52,TRUE,0.525,52
17,20,66,FALSE,0.53,66
2,20,52,TRUE,1,52
3,20,52,TRUE,1,52
4,20,52,TRUE,0.97,52
5,20,52,TRUE,0.535,52
6,20,52,TRUE,0.925,52
7,20,52,FALSE,0.97,52
8,20,52,TRUE,0.975,52
9,20,52,TRUE,0.705,52
1,21,52,TRUE,1,52
10,21,52,TRUE,0.82,52
11,21,69,FALSE,0.625,69
12,21,72,FALSE,0.57,72
