family,n_trees,N,k,pi0,pi1,mu,q,t_R,concept,n_cogsets,ub_DS,ub_DT
ST_by_sens,10001,50,3963,0.989364696584938,0.010635303415061,0.5022184032886429,1.0214967739122855,10.354036868019524,yellow,23,0.9911366089617449,0.2035403959727098
ST_by_sens,10001,50,3963,0.989338460646686,0.01066153935331473,0.3966589625549608,1.0215503627535858,10.354036868019524,the_feather,19,0.9911094570570609,0.1680851455988817
ST_by_sens,10001,50,3963,0.9892086106465472,0.01079138935345078,0.6981102061525291,1.0218156314456308,10.354036868019524,small,30,0.9909750800133462,0.26495320293264146
ST_by_sens,10001,50,3963,0.9891465242396648,0.01085347576033347,0.3218463762808048,1.021942490669489,10.354036868019524,to_laugh,16,0.990910832786736,0.14119518320486665
ST_by_sens,10001,50,3963,0.9889768805997708,0.01102311940022535,0.5183170582930328,1.0222891967488237,10.354036868019524,the_belly,19,0.9907352972757099,0.16730252543191804
ST_by_sens,10001,50,3963,0.988903122532325,0.01109687746767454,0.6184268300166875,1.0224399742988115,10.354036868019524,the_wind,26,0.9906589831386239,0.22872241535643872
ST_by_sens,10001,50,3963,0.9885891284664264,0.01141087153357343,0.34886169431087427,1.0230820896636303,10.354036868019524,the_mouse_or_rat,19,0.990334145625825,0.16646708389644346
ST_by_sens,10001,50,3963,0.9884149733501916,0.01158502664980995,0.6541690296382413,1.02343840524343,10.354036868019524,to_hear,27,0.9901540026693211,0.23602709057931243
ST_by_sens,10001,50,3963,0.9883564370884894,0.01164356291151109,0.5751109934904791,1.0235581956859057,10.354036868019524,the_foot,21,0.9900934580213796,0.18343790357225268
ST_by_sens,10001,50,3963,0.988294279960766,0.01170572003923001,0.585689404485372,1.0236854109607394,10.354036868019524,the_shoulder,23,0.9900291705960355,0.20074696663683925
ST_by_sens,10001,50,3963,0.9881265344587368,0.01187346554126383,0.4401750848294093,1.0240288080396216,10.354036868019524,to_buy,23,0.9898556879023294,0.20031250449057747
ST_by_sens,10001,50,3963,0.9880810886883238,0.01191891131167616,0.2544490744607043,1.024121860845152,10.354036868019524,the_road,17,0.9898086907950692,0.14797018241648444
ST_by_sens,10001,50,3963,0.9880689184626312,0.01193108153736964,0.8023954540065514,1.0241467814759306,10.354036868019524,round,31,0.9897961053425789,0.2697855650797706
