sens,mean_max_depth,mean_outgroup,cognate_id,root_form
push,6.320223830747134,0,3285,NA
rain,8.01590519375435,1,2236,*sh₂eu̯-
red,8.213838621645293,1,6592,*(h₁)reu̯dʰ-
right,8.213838621645293,0,6595,*dek̑s-
river,8.071657254329425,1,1735,*h₂ebʰ-
root,8.197203883177355,0,8233,?*u̯reh₂d-
rotten,8.151821099783287,0,2877,*peu̯H-
round,6.16665451728399,0,6651,NA
run,7.206503227306211,0,5225,*dʰeu̯-
salt,8.164568269812227,1,283,*sal-
sand,7.225179442008513,0,108,NA
say,6.923931205534554,0,285,*sekʷ-
sea,7.268239597075462,0,287,*mor-i-
see,8.181467129392257,0,929,*u̯ei̯d-
seed,7.964923426531161,0,1532,*sper-
sew,8.113883914646932,0,815,*si̯eu̯H-
shadow,8.175661521210344,1,5058,*s⁽k̑⁾eH-
sharp,8.213838621645293,1,468,*h₂ek̑-
short,7.992054917587685,1,2895,*mreg̑ʰ-
sing,7.0742076211249,0,565,*⁽k̑⁾an-
sit,8.213838621645293,1,294,*sed-
skin,7.610122655029272,0,820,*(s)keu̯H-
sky,8.213838621645293,1,1172,*nebʰ-
sleep,8.213838621645293,1,7523,*su̯ep-
small,5.621725758595956,0,1059,NA
smell,8.16663989532141,0,646,*h₃ed-
smoke,8.192956490402269,1,123,*dʰu̯eh₂-
smooth,8.199532091294587,0,8405,*(s)lei̯-
snake,8.213838621645293,0,648,*He(n)gʷʰi-
snow,8.175661521210344,1,303,*snei̯gʷʰ-
stand,8.213838621645293,1,309,*steh₂-
star,8.213838621645293,1,131,*h₂ster-
stick,6.193641339562862,0,2978,NA
stone,8.211180051599019,0,488,*gʷerH-
straight,8.076339548336271,0,312,*h₃reg̑-
sun,8.210655260146813,0,314,*seh₂-u̯l̥-
sweet,8.209974405854904,1,5109,*su̯eh₂d-
swell,7.371254541659128,0,9905,*dʰmeH-
swim,8.175661521210344,1,535,*(s)neh₂-
tail,7.2349061445897185,0,1551,*h₁ers-
take,7.207527724683944,0,5227,*gʰrebh₂-
thick,8.175661521210344,0,1585,*bʰeng̑ʰ-
thigh,8.09628633391294,0,6360,*k̑lou̯ni-
think,5.9531879330793265,0,3036,*men-
three,8.213838621645293,1,146,*trei̯-
throw,7.057202449757172,0,325,*u̯ergʷ-
tie,7.944622811839617,0,326,*bʰendʰ-
tongue,8.213838621645293,1,327,*dn̥g̑ʰu̯éh₂-
tooth,8.213838621645293,0,328,*Hd-ónt-
tree,8.213838621645293,1,503,*déru- ~ *dóru- ~ *dru-
turn,7.977097413559828,0,1186,*u̯ert-
vomit,8.175661521210344,0,840,*u̯emh₁-
wash,8.213838621645293,0.98,8364,*leh₃u̯-
water,8.213838621645293,1,335,*u̯ed-
wet,6.182493488642344,1,1335,*u̯ed-
white,8.143482637124105,1,2395,*h₂erg̑-
wide,8.213838621645293,0,667,*pleth₂-
wind,8.213838621645293,1,342,*h₂u̯eh₁-
wing,8.192956490402269,1,1567,*pet-
woman,8.213838621645293,1,671,*gʷen-
worm,8.175661521210344,0,172,*kʷr̥mi-
year,8.190006111000084,1,515,*u̯et-
yellow,8.210655260146813,0,7535,*g̑ʰelh₃-
yesterday,8.077495042117492,0,5015,*g̑ʰes-
