Index,Cumsum,Family
107,1.0334176304304634,Transeurasian
108,1.0334176304304634,Transeurasian
109,1.0334176304304634,Transeurasian
110,1.0334176304304634,Transeurasian
111,1.0334176304304634,Transeurasian
112,1.0334176304304634,Transeurasian
113,1.0334176304304634,Transeurasian
114,1.0334176304304634,Transeurasian
115,1.0334176304304634,Transeurasian
116,1.0334176304304634,Transeurasian
117,1.0334176304304634,Transeurasian
118,1.0334176304304634,Transeurasian
119,1.0334176304304634,Transeurasian
120,1.0334176304304634,Transeurasian
121,1.0334176304304634,Transeurasian
122,1.0334176304304634,Transeurasian
123,1.0334176304304634,Transeurasian
124,1.0334176304304634,Transeurasian
125,1.0334176304304634,Transeurasian
126,1.0334176304304634,Transeurasian
127,1.0334176304304634,Transeurasian
128,1.0334176304304634,Transeurasian
129,1.0334176304304634,Transeurasian
130,1.0334176304304634,Transeurasian
131,1.0334176304304634,Transeurasian
132,1.0334176304304634,Transeurasian
133,1.0334176304304634,Transeurasian
134,1.0334176304304634,Transeurasian
135,1.0334176304304634,Transeurasian
136,1.0334176304304634,Transeurasian
137,1.0334176304304634,Transeurasian
138,1.0334176304304634,Transeurasian
139,1.0334176304304634,Transeurasian
140,1.0334176304304634,Transeurasian
141,1.0334176304304634,Transeurasian
142,1.0334176304304634,Transeurasian
143,1.0334176304304634,Transeurasian
144,1.0334176304304634,Transeurasian
145,1.0334176304304634,Transeurasian
146,1.0334176304304634,Transeurasian
147,1.0334176304304634,Transeurasian
148,1.0334176304304634,Transeurasian
149,1.0334176304304634,Transeurasian
150,1.0334176304304634,Transeurasian
151,1.0334176304304634,Transeurasian
152,1.0334176304304634,Transeurasian
153,1.0334176304304634,Transeurasian
154,1.0334176304304634,Transeurasian
155,1.0334176304304634,Transeurasian
156,1.0334176304304634,Transeurasian
157,1.0334176304304634,Transeurasian
158,1.0334176304304634,Transeurasian
159,1.0334176304304634,Transeurasian
160,1.0334176304304634,Transeurasian
161,1.0334176304304634,Transeurasian
162,1.0334176304304634,Transeurasian
163,1.0334176304304634,Transeurasian
164,1.0334176304304634,Transeurasian
165,1.0334176304304634,Transeurasian
166,1.0334176304304634,Transeurasian
167,1.0334176304304634,Transeurasian
168,1.0334176304304634,Transeurasian
169,1.0334176304304634,Transeurasian
170,1.0334176304304634,Transeurasian
171,1.0334176304304634,Transeurasian
172,1.0334176304304634,Transeurasian
173,1.0334176304304634,Transeurasian
174,1.0334176304304634,Transeurasian
175,1.0334176304304634,Transeurasian
176,1.0334176304304634,Transeurasian
177,1.0334176304304634,Transeurasian
178,1.0334176304304634,Transeurasian
179,1.0334176304304634,Transeurasian
180,1.0334176304304634,Transeurasian
181,1.0334176304304634,Transeurasian
182,1.0334176304304634,Transeurasian
183,1.0334176304304634,Transeurasian
184,1.0334176304304634,Transeurasian
185,1.0334176304304634,Transeurasian
186,1.0334176304304634,Transeurasian
187,1.0334176304304634,Transeurasian
188,1.0334176304304634,Transeurasian
189,1.0334176304304634,Transeurasian
190,1.0334176304304634,Transeurasian
191,1.0334176304304634,Transeurasian
192,1.0334176304304634,Transeurasian
193,1.0334176304304634,Transeurasian
194,1.0334176304304634,Transeurasian
195,1.0334176304304634,Transeurasian
196,1.0334176304304634,Transeurasian
197,1.0334176304304634,Transeurasian
198,1.0334176304304634,Transeurasian
199,1.0334176304304634,Transeurasian
200,1.0334176304304634,Transeurasian
201,1.0334176304304634,Transeurasian
202,1.0334176304304634,Transeurasian
203,1.0334176304304634,Transeurasian
204,1.0334176304304634,Transeurasian
205,1.0334176304304634,Transeurasian
206,1.0334176304304634,Transeurasian
207,1.0334176304304634,Transeurasian
208,1.0334176304304634,Transeurasian
209,1.0334176304304634,Transeurasian
210,1.0334176304304634,Transeurasian
211,1.0334176304304634,Transeurasian
212,1.0334176304304634,Transeurasian
213,1.0334176304304634,Transeurasian
214,1.0334176304304634,Transeurasian
215,1.0334176304304634,Transeurasian
216,1.0334176304304634,Transeurasian
217,1.0334176304304634,Transeurasian
218,1.0334176304304634,Transeurasian
219,1.0334176304304634,Transeurasian
220,1.0334176304304634,Transeurasian
221,1.0334176304304634,Transeurasian
222,1.0334176304304634,Transeurasian
223,1.0334176304304634,Transeurasian
224,1.0334176304304634,Transeurasian
225,1.0334176304304634,Transeurasian
226,1.0334176304304634,Transeurasian
227,1.0334176304304634,Transeurasian
228,1.0334176304304634,Transeurasian
229,1.0334176304304634,Transeurasian
230,1.0334176304304634,Transeurasian
231,1.0334176304304634,Transeurasian
232,1.0334176304304634,Transeurasian
233,1.0334176304304634,Transeurasian
234,1.0334176304304634,Transeurasian
235,1.0334176304304634,Transeurasian
236,1.0334176304304634,Transeurasian
237,1.0334176304304634,Transeurasian
238,1.0334176304304634,Transeurasian
239,1.0334176304304634,Transeurasian
240,1.0334176304304634,Transeurasian
241,1.0334176304304634,Transeurasian
242,1.0334176304304634,Transeurasian
243,1.0334176304304634,Transeurasian
244,1.0334176304304634,Transeurasian
245,1.0334176304304634,Transeurasian
246,1.0334176304304634,Transeurasian
247,1.0334176304304634,Transeurasian
248,1.0334176304304634,Transeurasian
249,1.0334176304304634,Transeurasian
250,1.0334176304304634,Transeurasian
251,1.0334176304304634,Transeurasian
252,1.0334176304304634,Transeurasian
253,1.0334176304304634,Transeurasian
254,1.0334176304304634,Transeurasian
