"","age","simulation","root","root_age","first_split","root_split_age"
"276",12,24,51,7.6606558621,68,6.7038257712
"277",13,24,51,8.8700719217,74,8.0403479598
"278",14,24,51,6.98946475,68,6.1393413867
"279",15,24,51,10.560793574,68,8.310376419
"280",16,24,51,8.962686249,52,7.625464388
"281",17,24,51,9.583931536,52,7.129522521
"282",2,24,51,1.3983096588,52,1.2764495354
"283",3,24,51,2.3181278823,52,2.1134735661
"284",4,24,51,3.4212701937,52,3.1826774626
"285",5,24,51,4.4923018985,52,4.0147093534
"286",6,24,51,4.6872428386,52,4.4212660014
"287",7,24,51,5.313973329,52,4.8203624863
"288",8,24,51,7.1874413212,52,6.2681678998
"289",9,24,51,6.470822928,52,5.5549775227
"290",1,25,51,0.78238117662,52,0.66617876502
"291",10,25,51,11.889134478,52,9.034438785
"292",11,25,51,7.656689077,73,6.9453119319
"293",12,25,51,6.244277099,71,5.214680839
"294",13,25,51,8.2825613135,69,7.4358110202
"295",14,25,51,8.123965629,68,7.2180721585
"296",15,25,51,8.899552174,69,6.734096206
"297",16,25,51,10.6115631194,52,7.2916067274
"298",17,25,51,10.253580073,57,8.979228895
"299",2,25,51,1.56580196225,52,1.30852320475
"300",3,25,51,2.32322280014,52,2.07966689594
"301",4,25,51,3.451849956,52,2.9139930139
"302",5,25,51,4.254496352,52,4.066693828
"303",6,25,51,4.859097767,52,4.5342295005
"304",7,25,51,5.870785956,52,5.2921201679
"305",8,25,51,6.412538521,52,5.5973748708
"306",9,25,51,6.39068876,65,5.8502044724
"307",1,26,51,0.8540054574,52,0.7041070988
"308",10,26,51,6.282117092,65,5.5624371396
"309",11,26,51,7.608449963,52,6.8992674566
"310",12,26,51,7.314403101,68,6.7225558751
"311",13,26,51,8.3622811148,67,7.2444945318
"312",14,26,51,9.840595953,68,7.588613492
"313",15,26,51,9.302894778,67,7.2462644
"314",16,26,51,10.389103289,67,9.4823968512
"315",17,26,51,10.937480963,65,8.490537351
"316",2,26,51,1.51936868034,52,1.18330619534
"317",3,26,51,2.5225734611,52,2.0074301014
"318",4,26,51,3.019345164,52,2.5187968891
"319",5,26,51,4.696032408,52,4.155523534
"320",6,26,51,5.044791223,52,4.1942523731
"321",7,26,51,7.241451537,52,5.82353234
"322",8,26,51,6.1198874373,71,5.5718283335
"323",9,26,51,12.2793624712,52,8.3137680902
"324",1,27,51,0.8998882544,52,0.8104736555
"325",10,27,51,9.1585813997,52,7.4595637287
"326",11,27,51,7.813742223,63,6.9180824824
"327",12,27,51,7.233593076,70,5.729464142
"328",13,27,51,8.8790356,67,7.607126477
"329",14,27,51,9.56125831,52,7.865549611
"330",15,27,51,9.1863028723,70,7.8154941383
"331",16,27,51,9.926703255,58,6.687941561
"332",17,27,51,11.045618198,69,9.024115493
"333",2,27,51,1.3959345247,52,1.2842876681
"334",3,27,51,2.5230807925,52,2.3205120108
"335",4,27,51,3.781612076,52,3.3775007096
"336",5,27,51,4.4991460262,52,4.282485454
"337",6,27,51,5.312057233,52,4.7527731704
"338",7,27,51,5.577869477,52,4.9075925124
"339",8,27,51,6.673509512,52,6.4172244369
"340",9,27,51,8.1588341751,52,7.529273833
"341",1,28,51,0.82678153067,52,0.8027722898
"342",10,28,51,7.365665836,52,6.228134264
"343",11,28,51,8.299071795,52,7.5663452427
"344",12,28,51,9.536354739,52,8.223672205
"345",13,28,51,8.916917599,70,8.3273068663
"346",14,28,51,9.128221161,52,7.707043778
"347",15,28,51,9.424001897,52,6.559008626
"348",16,28,51,9.316524329,52,7.569677567
"349",17,28,51,10.01575786,52,6.995671063
"350",2,28,51,1.51701284943,52,1.451246958
"351",3,28,51,2.2865379989,52,1.9998133598
"352",4,28,51,3.606082596,52,3.2875439251
"353",5,28,51,4.520211556,52,4.1990078127
"354",6,28,51,5.746807633,52,4.653998472
"355",7,28,51,6.0417264,52,5.007451849
"356",8,28,51,7.766181328,52,6.459270836
"357",9,28,51,6.933697683,52,6.2869629875
"358",1,29,51,0.8975646233,52,0.7898272461
"359",10,29,51,11.640584467,52,9.173028701
"360",11,29,51,8.267313279,73,7.164394269
"361",12,29,51,8.070907904,74,7.1663905089
