"node","tree_age","tree_simulation_number","prob_mean","prob_inf","prob_sup"
52,4,9,0,0,0.023
70,13,8,0,0,0.023
59,11,50,0,0,0.023
80,1,46,0.515,0.444,0.586
53,4,49,0.98,0.946,0.994
59,8,50,0,0,0.023
71,16,48,0,0,0.023
83,13,43,0,0,0.023
52,17,42,0,0,0.023
52,2,44,0.495,0.424,0.566
80,8,46,0,0,0.023
83,7,43,0,0,0.023
52,5,41,0.895,0.842,0.932
52,17,5,0,0,0.023
71,9,48,0,0,0.023
52,3,6,0.89,0.836,0.928
60,5,47,0.855,0.797,0.899
59,12,50,0,0,0.023
53,5,49,0.335,0.271,0.406
70,7,8,0,0,0.023
62,15,45,0,0,0.023
52,16,7,0,0,0.023
83,14,43,0,0,0.023
52,2,42,0.815,0.753,0.865
52,2,5,0.085,0.052,0.135
52,5,9,0.01,0.002,0.039
70,14,8,0,0,0.023
80,9,46,0,0,0.023
59,9,50,0,0,0.023
80,10,46,0,0,0.023
52,6,41,0.33,0.266,0.4
71,17,48,0,0,0.023
59,13,50,0,0,0.023
52,3,44,0.065,0.037,0.111
83,8,43,0,0,0.023
53,6,49,0.735,0.667,0.794
52,4,6,0,0,0.023
62,16,45,0,0,0.023
53,1,49,1,0.977,1
70,8,8,0,0,0.023
52,17,7,0,0,0.023
60,6,47,0.09,0.056,0.141
52,3,5,0.78,0.715,0.834
59,14,50,0,0,0.023
71,2,48,0.97,0.933,0.988
53,7,49,0.155,0.109,0.214
83,15,43,0,0,0.023
52,6,9,0,0,0.023
52,3,42,0.215,0.161,0.28
70,15,8,0,0,0.023
60,1,47,1,0.977,1
62,17,45,0,0,0.023
80,11,46,0,0,0.023
52,5,6,0.21,0.157,0.274
70,9,8,0,0,0.023
52,2,7,0.91,0.859,0.944
52,7,41,0.165,0.118,0.225
52,1,6,1,0.977,1
52,4,5,0.48,0.409,0.551
52,4,44,0.79,0.726,0.843
83,9,43,0,0,0.023
59,15,50,0,0,0.023
53,10,49,0.205,0.153,0.269
53,8,49,0.07,0.04,0.117
62,2,45,0.775,0.71,0.83
71,3,48,0.45,0.38,0.522
60,7,47,0.085,0.052,0.135
52,1,9,0.02,0.006,0.054
52,6,6,0,0,0.023
52,3,7,0.36,0.294,0.431
52,7,9,0,0,0.023
52,5,5,0.11,0.072,0.164
59,16,50,0,0,0.023
60,10,47,0,0,0.023
83,16,43,0,0,0.023
70,16,8,0,0,0.023
80,12,46,0,0,0.023
52,4,42,0.365,0.299,0.436
53,9,49,0.005,0,0.032
52,10,6,0,0,0.023
52,8,41,0.035,0.015,0.074
52,1,44,0.04,0.019,0.08
62,3,45,0.64,0.569,0.706
52,5,44,0,0,0.023
52,10,9,0,0,0.023
53,11,49,0.045,0.022,0.086
52,7,6,0,0,0.023
59,17,50,0,0,0.023
52,4,7,0.51,0.439,0.581
52,6,5,0.255,0.197,0.322
60,8,47,0.01,0.002,0.039
52,1,5,0.96,0.92,0.981
52,8,9,0,0,0.023
80,13,46,0,0,0.023
62,4,45,0.335,0.271,0.406
83,17,43,0,0,0.023
60,11,47,0,0,0.023
70,17,8,0,0,0.023
52,9,41,0.005,0,0.032
52,11,9,0,0,0.023
52,10,44,0,0,0.023
52,11,6,0,0,0.023
59,2,50,1,0.977,1
52,5,42,0.175,0.126,0.236
52,8,6,0,0,0.023
52,6,44,0,0,0.023
53,12,49,0.015,0.004,0.047
52,5,7,0.645,0.574,0.71
80,14,46,0,0,0.023
52,9,9,0,0,0.023
52,10,5,0,0,0.023
52,11,44,0,0,0.023
52,12,9,0,0,0.023
52,12,6,0,0,0.023
52,9,6,0,0,0.023
52,7,44,0,0,0.023
53,13,49,0.005,0,0.032
52,1,42,1,0.977,1
80,15,46,0,0,0.023
52,12,44,0,0,0.023
52,1,7,0.755,0.688,0.812
52,8,44,0,0,0.023
52,13,6,0,0,0.023
53,14,49,0,0,0.023
80,16,46,0,0,0.023
52,9,44,0,0,0.023
