age,simulation,node,y,hipstr_prob,first_split
10,33,53,FALSE,0.749,53
11,33,58,TRUE,0.386,58
12,33,60,FALSE,0.129,60
13,33,58,TRUE,0.083,58
14,33,60,FALSE,0.005,60
15,33,54,FALSE,0.005,54
16,33,58,TRUE,0.031,58
17,33,72,FALSE,0,72
2,33,58,TRUE,0.989,58
3,33,58,TRUE,0.776,58
4,33,58,TRUE,0.976,58
5,33,58,TRUE,0.937,58
6,33,58,TRUE,0.912,58
7,33,60,TRUE,0.897,60
8,33,60,TRUE,0.728,60
9,33,54,FALSE,0.618,54
1,34,58,TRUE,1,58
10,34,58,TRUE,0.315,58
11,34,53,FALSE,0.111,53
12,34,59,FALSE,0.018,59
13,34,58,TRUE,0.048,58
14,34,58,TRUE,0.025,58
15,34,52,FALSE,0,52
16,34,66,FALSE,0,66
17,34,65,FALSE,0,65
2,34,58,TRUE,1,58
3,34,58,TRUE,1,58
4,34,58,TRUE,0.996,58
5,34,58,TRUE,1,58
6,34,58,TRUE,0.952,58
7,34,58,TRUE,0.994,58
8,34,58,TRUE,0.808,58
9,34,58,TRUE,0.918,58
1,35,58,TRUE,0.999,58
10,35,59,FALSE,0.145,59
11,35,52,FALSE,0.176,52
12,35,62,FALSE,0.024,62
13,35,58,TRUE,0.046,58
14,35,58,TRUE,0.018,58
15,35,53,FALSE,0.009,53
16,35,52,FALSE,0.004,52
17,35,53,FALSE,0.001,53
2,35,58,TRUE,0.975,58
3,35,58,TRUE,1,58
4,35,58,TRUE,0.986,58
5,35,58,TRUE,0.947,58
6,35,58,TRUE,0.959,58
7,35,58,TRUE,0.907,58
8,35,58,TRUE,0.912,58
9,35,52,FALSE,0.646,52
1,36,52,FALSE,0.753,52
10,36,53,FALSE,0.131,53
11,36,53,FALSE,0.026,53
12,36,59,FALSE,0.08,59
13,36,52,FALSE,0.033,52
14,36,70,FALSE,0,70
15,36,67,FALSE,0,67
16,36,59,FALSE,0,59
17,36,70,FALSE,0,70
2,36,52,FALSE,0.523,52
3,36,52,FALSE,0.723,52
4,36,58,TRUE,0.504,58
5,36,60,TRUE,0.651,60
6,36,58,TRUE,0.624,58
7,36,60,TRUE,0.189,60
8,36,60,TRUE,0.5,60
9,36,60,TRUE,0.596,60
1,37,58,TRUE,0.997,58
10,37,53,FALSE,0.063,53
11,37,58,TRUE,0.315,58
12,37,57,FALSE,0.13,57
13,37,58,TRUE,0.021,58
14,37,53,FALSE,0.007,53
15,37,66,FALSE,0.001,66
16,37,56,FALSE,0,56
17,37,60,FALSE,0,60
2,37,58,TRUE,0.956,58
3,37,58,TRUE,0.988,58
4,37,58,TRUE,0.982,58
5,37,58,TRUE,0.971,58
6,37,58,TRUE,0.996,58
7,37,58,TRUE,0.976,58
8,37,58,TRUE,0.6,58
9,37,58,TRUE,0.511,58
1,38,58,TRUE,0.994,58
10,38,65,FALSE,0.027,65
11,38,58,TRUE,0.059,58
12,38,53,FALSE,0.03,53
13,38,56,FALSE,0.03,56
14,38,64,FALSE,0,64
15,38,52,FALSE,0,52
16,38,52,FALSE,0.002,52
17,38,52,FALSE,0,52
2,38,58,TRUE,0.9,58
3,38,58,TRUE,0.998,58
4,38,58,TRUE,0.616,58
5,38,58,TRUE,0.996,58
6,38,61,TRUE,0.858,61
7,38,58,TRUE,0.607,58
8,38,58,TRUE,0.199,58
9,38,61,FALSE,0.046,61
1,39,58,TRUE,0.999,58
10,39,58,TRUE,0.271,58
11,39,53,FALSE,0.131,53
12,39,60,FALSE,0.046,60
13,39,55,FALSE,0.012,55
14,39,58,TRUE,0.012,58
15,39,52,FALSE,0.008,52
16,39,61,FALSE,0,61
17,39,72,FALSE,0,72
2,39,58,TRUE,0.999,58
3,39,58,TRUE,1,58
4,39,58,TRUE,1,58
5,39,58,TRUE,0.997,58
6,39,58,TRUE,0.996,58
7,39,58,TRUE,0.96,58
8,39,58,TRUE,0.729,58
9,39,58,TRUE,0.456,58
1,4,58,TRUE,0.999,58
10,4,58,TRUE,0.244,58
11,4,58,TRUE,0.108,58
12,4,55,FALSE,0.028,55
13,4,54,FALSE,0.012,54
14,4,68,FALSE,0,68
15,4,58,TRUE,0.012,58
16,4,64,FALSE,0,64
17,4,56,FALSE,0,56
2,4,58,TRUE,1,58
3,4,58,TRUE,0.998,58
4,4,58,TRUE,1,58
5,4,58,TRUE,0.99,58
6,4,58,TRUE,0.916,58
7,4,58,TRUE,0.952,58
8,4,52,FALSE,0.365,52
9,4,53,FALSE,0.239,53
1,40,58,TRUE,0.997,58
10,40,52,FALSE,0.073,52
11,40,53,FALSE,0.12,53
12,40,58,TRUE,0.09,58
13,40,58,TRUE,0.073,58
14,40,52,FALSE,0.003,52
15,40,52,FALSE,0,52
16,40,55,FALSE,0,55
17,40,54,FALSE,0,54
2,40,58,TRUE,0.998,58
3,40,58,TRUE,1,58
4,40,52,FALSE,0.851,52
