family,tip,age,depth,root_age
Bantu,C105_Mbenga,5.075103246365526,0,5.08
Bantu,C141_Bonyala,5.075103246365526,0,5.08
Bantu,C142_Mondongo,5.075103246365525,0,5.08
Bantu,C15_Bongili,5.075103246365526,0,5.08
Bantu,C21_Ngare,5.075103246365526,0,5.08
Bantu,C22_Akwa,5.075103246365526,0,5.08
Bantu,C24_Koyo,5.075103246365526,0,5.08
Bantu,C25A_Bunji,5.075103246365526,0,5.08
Bantu,C25B_Olee,5.075103246365526,0,5.08
Bantu,C25C_Ondinga,5.075103246365526,0,5.08
Bantu,C25E_Eboyi,5.075103246365526,0,5.08
Bantu,C25_Mboshi,5.075103246365526,0,5.08
Bantu,C302_Bolondo,5.075103246365526,0,5.08
Bantu,C322_Zamba,5.075103246365526,0,5.08
Bantu,C323_Mpama,5.075103246365526,0,5.08
Bantu,C32_Bobangi,5.075103246365526,0,5.08
Bantu,C34_Sakata,5.075103246365526,0,5.08
Bantu,C36d_Lingala,5.075103246365526,0,5.08
Bantu,C36g_Monyongo,5.075103246365525,0,5.08
Bantu,C36g_Mosange,5.075103246365526,0,5.08
Bantu,C37_Ebudza,5.075103246365526,0,5.08
Bantu,C401_Babati_1919,5.075103246365525,0,5.08
Bantu,C401_Pakabete,5.075103246365526,0,5.08
Bantu,C412_Libobi,5.075103246365526,0,5.08
Bantu,C41_Ngombe,5.075103246365526,0,5.08
Bantu,C42_Ebwela,5.075103246365526,0,5.08
Bantu,C43A_Baati,5.075103246365526,0,5.08
Bantu,C44_Bwa,5.075103246365526,0,5.08
Bantu,C52_Soko,5.075103246365526,0,5.08
Bantu,C52_Soko_1919,5.075103246365526,0,5.08
Bantu,C54_Turumba_1919,5.075103246365526,0,5.08
Bantu,C55_Lokele,5.075103246365526,0,5.08
Bantu,C61E_Konda,5.075103246365526,0,5.08
Bantu,C61_Mongo,5.075103246365526,0,5.08
Bantu,C71_Tetela,5.075103246365525,0,5.08
Bantu,C76_Ombo,5.075103246365525,0,5.08
Bantu,C81_Dengese,5.075103246365526,0,5.08
Bantu,C83_Bushong,5.075103246365526,0,5.08
Bantu,C85_Wongo,5.075103246365526,0,5.08
Bantu,D11_Mbole,5.075103246365526,0,5.08
Bantu,D12_Lengola,5.075103246365526,0,5.08
Bantu,D13_Metoko,5.075103246365526,0,5.08
Bantu,D14_Enya,5.075103246365526,0,5.08
Bantu,D201_Liko,5.075103246365526,0,5.08
Bantu,D211_Kango,5.075103246365526,0,5.08
Bantu,D21_Baali,5.075103246365526,0,5.08
Bantu,D23_Kibira-Kumu_1919,5.075103246365526,0,5.08
Bantu,D24_Songola,5.075103246365526,0,5.08
Bantu,D25_Lega,5.075103246365526,0,5.08
Bantu,D28_Holoholo,5.075103246365526,0,5.08
Bantu,D311_Bila,5.075103246365526,0,5.08
Bantu,D313_Mbuttu_1919,5.075103246365525,0,5.08
Bantu,D32_Bira,5.075103246365526,0,5.08
Bantu,D32_Bira_Bunia,5.075103246365526,0,5.08
Bantu,D331_Bvanuma,5.075103246365526,0,5.08
Bantu,D333_Ndaaka,5.075103246365524,0,5.08
Bantu,D334_Mbo,5.075103246365524,0,5.08
Bantu,D33_Nyali,5.075103246365525,0,5.08
Bantu,D43_Nyanga,5.075103246365526,0,5.08
Bantu,D55_Buyu,5.075103246365526,0,5.08
Bantu,Duguri_Jarawan,5.075103246365526,0,5.08
Bantu,E46_Sonjo,5.075103246365526,0,5.08
Bantu,E51_Kikuyu,5.075103246365526,0,5.08
Bantu,E52_Embu,5.075103246365526,0,5.08
Bantu,E52_Mbeere,5.075103246365526,0,5.08
Bantu,E531_Muthambi,5.075103246365526,0,5.08
Bantu,E531_Mwimbi,5.075103246365526,0,5.08
Bantu,E53_Igoji,5.075103246365526,0,5.08
Bantu,E53_Imenti,5.075103246365526,0,5.08
Bantu,E53_Meru,5.075103246365526,0,5.08
Bantu,E53_Meruimenti,5.075103246365526,0,5.08
Bantu,E53_Merutig,5.075103246365526,0,5.08
Bantu,E53_Miutini,5.075103246365526,0,5.08
Bantu,E53_Tigania,5.075103246365526,0,5.08
Bantu,E541_Chuka,5.075103246365526,0,5.08
Bantu,E54_Tharaka,5.075103246365526,0,5.08
Bantu,E55_Kamba,5.075103246365526,0,5.08
Bantu,E55_Kamba_Kitu,5.075103246365526,0,5.08
Bantu,E55_Kamba_Mach,5.075103246365526,0,5.08
Bantu,E56_Daiso,5.075103246365526,0,5.08
Bantu,E621B_Machame,5.075103246365526,0,5.08
Bantu,E621C_Siha,5.075103246365526,0,5.08
Bantu,E621D_Kibosho,5.075103246365526,0,5.08
Bantu,E622A_Kimochi,5.075103246365525,0,5.08
Bantu,E622C_Lema,5.075103246365526,0,5.08
Bantu,E622C_Mamba,5.075103246365526,0,5.08
Bantu,E622C_Vunjo,5.075103246365526,0,5.08
Bantu,E623A_Kiseri,5.075103246365526,0,5.08
Bantu,E623D_Keni,5.075103246365525,0,5.08
Bantu,E623_Mkuu,5.075103246365525,0,5.08
Bantu,E64_Kahe,5.075103246365526,0,5.08
Bantu,E65_Gweno,5.075103246365526,0,5.08
Bantu,E701_Elwana,5.075103246365526,0,5.08
Bantu,E71A_Upper_Pokomo,5.075103246365526,0,5.08
Bantu,E72a_Giryama,5.075103246365526,0,5.08
Bantu,E73_Digo,5.075103246365526,0,5.08
Bantu,E74a_Dawida,5.075103246365526,0,5.08
Bantu,E74a_Tuveta,5.075103246365526,0,5.08
Bantu,F12_Bende,5.075103246365526,0,5.08
Bantu,F21_Ntuzu,5.075103246365524,0,5.08
Bantu,F21_Sukuma,5.075103246365524,0,5.08
Bantu,F22_Nyamwezi,5.075103246365525,0,5.08
Bantu,F23_Sumbwa,5.075103246365526,0,5.08
Bantu,F24_Kimbu,5.075103246365526,0,5.08
Bantu,F25_Bungu,5.075103246365526,0,5.08
Bantu,F31_Nyiramba,5.075103246365526,0,5.08
Bantu,F32_Nyaturucha,5.075103246365526,0,5.08
Bantu,F32_Nyaturuwil,5.075103246365526,0,5.08
Bantu,F33_Langi,5.075103246365526,0,5.08
Bantu,Fefe_Grassfields,5.075103246365526,0,5.08
Bantu,G11_Gogo,5.075103246365526,0,5.08
Bantu,G12_Kagulu,5.075103246365526,0,5.08
Bantu,G22A_North_Pare,5.075103246365526,0,5.08
Bantu,G22B_South_Pare,5.075103246365526,0,5.08
Bantu,G22_Asu,5.075103246365526,0,5.08
Bantu,G23_Sambaa,5.075103246365525,0,5.08
Bantu,G24_Bondei,5.075103246365525,0,5.08
Bantu,G31_Zigua,5.075103246365525,0,5.08
Bantu,G32_Doe,5.075103246365525,0,5.08
Bantu,G32_Kwere,5.075103246365525,0,5.08
Bantu,G33_Zaramo,5.075103246365525,0,5.08
Bantu,G34_Nguungulu,5.075103246365525,0,5.08
Bantu,G35_Luguru,5.075103246365525,0,5.08
Bantu,G36_Kami,5.075103246365525,0,5.08
Bantu,G37_Kutu,5.075103246365525,0,5.08
Bantu,G39_Saghala,5.075103246365526,0,5.08
Bantu,G401_Mwani,5.075103246365526,0,5.08
Bantu,G412_Mwiini,5.075103246365526,0,5.08
Bantu,G41_Bajuni,5.075103246365526,0,5.08
Bantu,G42_Swahili,5.075103246365526,0,5.08
Bantu,G42a_Amu,5.075103246365526,0,5.08
Bantu,G42d_Unguja,5.075103246365526,0,5.08
Bantu,G43_Kae,5.075103246365526,0,5.08
Bantu,G44D_Maore,5.075103246365526,0,5.08
Bantu,G44a_Ngazija,5.075103246365526,0,5.08
Bantu,G44b_Ndzwani,5.075103246365526,0,5.08
Bantu,G51_Pogoro,5.075103246365526,0,5.08
Bantu,G52_Ndamba,5.075103246365526,0,5.08
Bantu,G61_Sangu,5.075103246365526,0,5.08
Bantu,G62_Hehe,5.075103246365526,0,5.08
Bantu,G63_Bena,5.075103246365526,0,5.08
Bantu,G64_Pangwa,5.075103246365526,0,5.08
Bantu,G65_Kinga,5.075103246365526,0,5.08
Bantu,G66_Wanji,5.075103246365526,0,5.08
Bantu,H111_Hangala,5.075103246365526,0,5.08
Bantu,H11_Beembe,5.075103246365526,0,5.08
Bantu,H12_Civili_Congo,5.075103246365526,0,5.08
Bantu,H131_Kisundi_Congo_Kimongo_1988,5.075103246365526,0,5.08
Bantu,H13_Kikunyi_1989,5.075103246365526,0,5.08
Bantu,H16_Cilinji,5.075103246365526,0,5.08
Bantu,H16_Cimbala,5.075103246365526,0,5.08
Bantu,H16_Cizobe,5.075103246365526,0,5.08
Bantu,H16_Kikongo,5.075103246365526,0,5.08
Bantu,H16_Kimbata_Ngidinga,5.075103246365526,0,5.08
