"age","simulation","node_cs","node_mcc","cs_prob","mcc_prob"
10,36,52,53,0.575,0.13
5,13,52,58,1,1
6,40,52,58,0.61,0.61
6,31,52,58,1,1
2,22,52,58,0.995,0.995
11,36,52,52,0.545,0.025
4,45,52,58,0.99,0.99
16,9,52,52,1,0.005
6,13,52,58,0.985,0.985
7,31,52,52,0.6,0.245
5,27,52,52,0.63,0.63
5,45,52,58,1,1
7,13,52,59,0.665,0.78
17,9,58,52,0.725,0.005
8,31,79,60,0.645,0.915
12,36,52,59,0.635,0.075
6,45,52,58,0.975,0.975
8,13,52,52,0.795,0.795
3,22,52,52,0.86,0.86
7,40,52,52,0.84,0.84
2,9,52,52,0.565,0.565
9,31,52,52,0.57,0.125
6,27,52,52,0.895,0.895
7,45,52,58,0.985,0.985
9,13,52,52,0.755,0.755
13,36,70,52,0.69,0.005
8,40,52,58,0.745,0.745
4,22,52,52,0.915,0.915
7,27,52,58,0.96,0.96
8,45,52,52,0.67,0.125
3,9,52,58,0.78,0.78
8,27,52,52,0.53,0.4
9,45,52,52,0.75,0.75
5,22,52,52,0.98,0.445
4,9,52,52,0.755,0.755
9,40,52,60,0.65,0.135
14,36,52,64,0.735,0.01
9,27,52,52,0.525,0.165
6,22,52,58,0.945,0.945
5,9,52,52,0.53,0.53
15,36,71,52,0.515,0.005
7,22,52,58,0.9,0.9
6,9,52,58,0.925,0.925
16,36,34,52,NA,0.005
7,9,52,58,0.54,0.39
8,22,52,60,0.505,0.405
17,36,58,67,0.925,0.005
8,9,52,52,0.535,0.535
9,22,52,52,0.73,0.73
9,9,52,58,0.595,0.595
2,36,52,52,1,0.495
3,36,87,52,0.74,0.74
4,36,52,58,0.515,0.515
5,36,52,52,0.675,0.675
6,36,52,58,0.595,0.595
7,36,73,88,0.505,0.115
8,36,70,60,0.645,0.47
9,36,52,61,0.6,0.21
