family,n_trees,N,k,pi0,pi1,mu,q,clock_rate,t_R,concept,n_cogsets,ub_DS,ub_DT,inf_t_DS,inf_t_DT
ST_by_sens,10001,50,3963,0.9922495505299552,0.00775044947004422,0.4755630603538845,65.0162930572061,0.00675927451216095,10.362633927936784,left,28,0.9922495505299552,1.006277494808992e-66,2.827,5.608
ST_by_sens,10001,50,3963,0.9701553460165376,0.02984465398346088,0.6818648662093867,17.268800610290246,0.00675927451216095,10.362633927936784,light_of_weight,13,0.9701553460165376,2.6861806563559807e-25,2.968,6.044
ST_by_sens,10001,50,3963,0.9911668604532802,0.00883313954671982,0.32289363644097896,57.109471321422305,0.00675927451216095,10.362633927936784,long,30,0.9911668604532802,1.7917908213193784e-39,2.926,5.789
ST_by_sens,10001,50,3963,0.9963868560156688,0.00361314398433237,0.3206125950482765,138.88544858518617,0.00675927451216095,10.362633927936784,many,38,0.9963868560156688,2.817307153329494e-96,2.796,5.526
ST_by_sens,10001,50,3963,0.9913719964357108,0.00862800356428929,0.9806432961189968,58.45518527972911,0.00675927451216095,10.362633927936784,middle,31,0.9913719964357108,2.8254022044747098e-124,2.753,5.485
ST_by_sens,10001,50,3963,0.9932710034088168,0.00672899659118618,0.6959205767698089,74.80867088371089,0.00675927451216095,10.362633927936784,morning,30,0.9932710034088168,8.252394798489703e-113,2.766,5.499
ST_by_sens,10001,50,3963,0.9947165165297694,0.00528348347022947,0.5129539993983592,95.137190511266,0.00675927451216095,10.362633927936784,narrow,31,0.9947165165297694,1.100595917962419e-105,2.777,5.51
ST_by_sens,10001,50,3963,0.994335683212834,0.0056643167871647,0.28427671874301885,88.77474740843365,0.00675927451216095,10.362633927936784,near,27,0.994335683212834,2.413937272407648e-54,2.875,5.668
ST_by_sens,10001,50,3963,0.9909312442035944,0.00906875579640704,0.3828760614014592,55.638930711379544,0.00675927451216095,10.362633927936784,new,19,0.9909312442035944,6.469595766392474e-46,2.891,5.729
ST_by_sens,10001,50,3963,0.9241484980856284,0.07585150191437426,0.6311874068780065,7.132865875573114,0.00675927451216095,10.362633927936784,nine,6,0.9241484980856293,9.068776586260705e-10,3.243,7.18
ST_by_sens,10001,50,3963,0.9945073881808992,0.00549261181910119,0.37673695388012174,91.53413533862704,0.00675927451216095,10.362633927936784,old_of_person,33,0.9945073881808992,1.9854247292220087e-74,2.821,5.58
ST_by_sens,10001,50,3963,0.974720070154694,0.02527992984530506,0.5891298200763319,20.291503689941273,0.00675927451216095,10.362633927936784,one,15,0.974720070154694,1.2591721665865021e-25,2.978,6.033
ST_by_sens,10001,50,3963,0.996412433188114,0.00358756681188487,0.2984837050639686,139.8720269770735,0.00675927451216095,10.362633927936784,outside,35,0.996412433188114,2.990517801258958e-90,2.805,5.538
ST_by_sens,10001,50,3963,0.9795348255230713,0.0204651744769329,0.3571539975409386,24.942195077914736,0.00675927451216095,10.362633927936784,red,20,0.9795348255230713,7.405314958738351e-19,3.107,6.27
ST_by_sens,10001,50,3963,0.9928530707131996,0.00714692928680447,0.26674088313250244,70.46371491513001,0.00675927451216095,10.362633927936784,right,23,0.9928530707131996,2.3064579780437938e-40,2.933,5.781
ST_by_sens,10001,50,3963,0.9889093631858898,0.01109063681411424,0.868937572368648,45.588681491417475,0.00675927451216095,10.362633927936784,round,31,0.9889093631858898,1.2074551369872481e-85,2.784,5.549
ST_by_sens,10001,50,3963,0.9817428342880548,0.01825716571194582,0.27061780484001985,27.895805532119617,0.00675927451216095,10.362633927936784,seven,10,0.9817428342880548,3.4129344768171287e-16,3.2,6.437
ST_by_sens,10001,50,3963,0.97323092054876,0.0267690794512416,1.174197229206868,19.192019188351896,0.00675927451216095,10.362633927936784,sharp,25,0.97323092054876,1.7451160712723475e-48,2.831,5.708
ST_by_sens,10001,50,3963,0.980283144573298,0.01971685542670666,0.5659431373423953,25.86907006521563,0.00675927451216095,10.362633927936784,short,26,0.980283144573298,3.0184721262419344e-31,2.938,5.906
ST_by_sens,10001,50,3963,0.9368380351762572,0.06316196482374005,0.27340115463298376,8.44986670931383,0.00675927451216095,10.362633927936784,six,5,0.9368380573758606,4.590530643326829e-5,3.93,8.928
ST_by_sens,10001,50,3963,0.989685222668868,0.01031477733113442,0.7741108436511231,48.97935497780285,0.00675927451216095,10.362633927936784,small,30,0.989685222668868,5.916531795460106e-82,2.791,5.559
ST_by_sens,10001,50,3963,0.9920007363472484,0.00799926365275038,0.8566370740701723,63.00978512636463,0.00675927451216095,10.362633927936784,soft,35,0.9920007363472484,6.382203932181488e-117,2.759,5.493
ST_by_sens,10001,50,3963,0.9951818435226942,0.00481815647730413,0.547682566259121,104.2765514399224,0.00675927451216095,10.362633927936784,straight,34,0.9951818435226942,9.043369125056218e-124,2.763,5.485
ST_by_sens,10001,50,3963,0.9586687293881224,0.04133127061187951,0.7941345643355204,12.618934504608356,0.00675927451216095,10.362633927936784,ten,15,0.9586687293881224,2.0747886585970862e-21,2.988,6.167
ST_by_sens,10001,50,3963,0.9926247410995578,0.00737525890044261,0.29791439989647184,68.29794527197397,0.00675927451216095,10.362633927936784,the_ant,24,0.9926247410995578,9.939928404233944e-44,2.911,5.747
ST_by_sens,10001,50,3963,0.9871509708554485,0.01284902914455345,0.5148981289404986,39.41995400014855,0.00675927451216095,10.362633927936784,the_bamboo,22,0.9871509708554485,1.169401326782128e-43,2.885,5.748
ST_by_sens,10001,50,3963,0.988917530114828,0.01108246988516941,0.6018864493662474,45.62190007810358,0.00675927451216095,10.362633927936784,the_belly,19,0.988917530114828,2.4095320943684136e-59,2.834,5.642
ST_by_sens,10001,50,3963,0.9823979870476064,0.01760201295239448,0.6696734334252716,28.914800765325374,0.00675927451216095,10.362633927936784,the_bird,22,0.9823979870476064,1.2730177545841052e-41,2.879,5.768
ST_by_sens,10001,50,3963,0.9564891524279888,0.04351084757200768,0.2327671713732453,12.01413235395588,0.00675927451216095,10.362633927936784,the_blood,6,0.9564891529072653,4.770780945768963e-6,3.81,8.303
ST_by_sens,10001,50,3963,0.9863752984740864,0.01362470152591156,0.25547107413160186,37.20495807604311,0.00675927451216095,10.362633927936784,the_bone,15,0.9863752984740864,2.775048714692334e-20,3.122,6.212
ST_by_sens,10001,50,3963,0.9932723376083206,0.00672766239168005,0.4875055348987314,74.823406094527,0.00675927451216095,10.362633927936784,the_branch,27,0.9932723376083206,7.317892214269115e-79,2.807,5.567
ST_by_sens,10001,50,3963,0.9778764988912948,0.02212350110870914,0.7122542502674842,23.111713166413193,0.00675927451216095,10.362633927936784,the_breast_female,16,0.9778764988912948,1.9806019355239197e-35,2.902,5.843
ST_by_sens,10001,50,3963,0.9859361210022204,0.01406387899777809,0.5404561411878128,36.05920149280936,0.00675927451216095,10.362633927936784,the_cloud,19,0.9859361210022204,5.869849506444705e-42,2.889,5.765
ST_by_sens,10001,50,3963,0.9911750184188776,0.00882498158112237,0.5537739009214292,57.16179382463213,0.00675927451216095,10.362633927936784,the_dew,25,0.9911750184188776,2.235900340777343e-68,2.819,5.602
ST_by_sens,10001,50,3963,0.983849118458966,0.01615088154103345,0.19968344517150544,31.46627049633997,0.00675927451216095,10.362633927936784,the_dog,11,0.983849118458966,2.165864078266933e-13,3.327,6.659
ST_by_sens,10001,50,3963,0.9540822613469429,0.04591773865305776,0.23181998705861476,11.41310180254827,0.00675927451216095,10.362633927936784,the_dream,6,0.9540822629052448,1.0176803836869076e-5,3.862,8.472
ST_by_sens,10001,50,3963,0.9944731834073096,0.00552681659268926,0.34079236779846567,90.97077089397013,0.00675927451216095,10.362633927936784,the_dust,21,0.9944731834073096,4.979359651568477e-67,2.838,5.607
ST_by_sens,10001,50,3963,0.9511869805343312,0.04881301946566646,0.2246694772142812,10.76882784362383,0.00675927451216095,10.362633927936784,the_ear,6,0.9511869898290087,3.177962714264712e-5,3.967,8.766
ST_by_sens,10001,50,3963,0.9915790143148726,0.00842098568512765,0.3418389708783553,59.87971827899301,0.00675927451216095,10.362633927936784,the_earth_soil,27,0.9915790143148726,6.050710563409423e-44,2.903,5.745
ST_by_sens,10001,50,3963,0.9845088822838064,0.01549111771619319,0.381567144873233,32.784428051737365,0.00675927451216095,10.362633927936784,the_egg,20,0.9845088822838064,1.0330374276267424e-26,3.003,6.002
ST_by_sens,10001,50,3963,0.9445729436218544,0.05542705637814722,0.25488116039548897,9.55020487129518,0.00675927451216095,10.362633927936784,the_eye,6,0.9445729518903474,2.950699856447902e-5,3.905,8.745
ST_by_sens,10001,50,3963,0.9893265344482164,0.01067346555178169,0.4452968189386561,47.35053542755722,0.00675927451216095,10.362633927936784,the_feather,19,0.9893265344482164,1.9315384696960848e-45,2.885,5.733
